ID,ENTRYTYPE,doi,journal,title,year,volume,number,pages,url,author,language,cited_by,dblp_key
000740,article,10.2753/MIS0742-1222300208,Journal of Management Information Systems,How Do Consumer Buzz and Traffic in Social Media Marketing Predict the Value of the Firm?,2013,30,2,213--238,https://www.tandfonline.com/doi/abs/10.2753/MIS0742-1222300208,"Luo, Xueming and Zhang, Jie",,,
000741,article,10.2753/MIS0742-1222250110,Journal of Management Information Systems,How Endogenous Motivations Influence User Intentions: Beyond the Dichotomy of Extrinsic and Intrinsic User Motivations,2008,25,1,267--300,https://www.tandfonline.com/doi/abs/10.2753/MIS0742-1222250110,"Malhotra, Yogesh and Galletta, Dennis F. and Kirsch, Laurie J.",,,
000742,article,10.2753/MIS0742-1222260408,Journal of Management Information Systems,"A Service Science Perspective on Strategic Choice, IT, and Performance in U.S. Banking",2010,26,4,219--252,https://www.tandfonline.com/doi/abs/10.2753/MIS0742-1222260408,"Tallon, Paul P.",,,
000743,article,10.1080/07421222.2017.1393304,Journal of Management Information Systems,A Video-Based Screening System for Automated Risk Assessment Using Nuanced Facial Features,2017,34,4,970--993,https://www.tandfonline.com/doi/full/10.1080/07421222.2017.1393304,"Pentland, Steven J. and Twyman, Nathan W. and Burgoon, Judee K. and Nunamaker, Jay F. and Diller, Christopher B.R.",,,
000744,article,10.1080/07421222.2020.1831778,Journal of Management Information Systems,The Relative Role of Digital Complementary Assets and Regulation in Discontinuous Telemedicine Innovation in European Hospitals,2020,37,4,1155--1183,https://www.tandfonline.com/doi/full/10.1080/07421222.2020.1831778,"Steinhauser, Stefanie and Doblinger, Claudia and Hüsig, Stefan",,,
000745,article,10.1080/07421222.2016.1243893,Journal of Management Information Systems,Emotion in IT Investment Decision Making with A Real Options Perspective: The Intertwining of Cognition and Regret,2016,33,3,652--683,https://www.tandfonline.com/doi/full/10.1080/07421222.2016.1243893,"Park, Eun Hee and Ramesh, Balasubramaniam and Cao, Lan",,,
000746,article,10.1080/07421222.2016.1243944,Journal of Management Information Systems,Not As Smart As We Think: A Study of Collective Intelligence in Virtual Groups,2016,33,3,684--712,https://www.tandfonline.com/doi/full/10.1080/07421222.2016.1243944,"Barlow, Jordan B. and Dennis, Alan R.",,,
000747,article,10.1080/07421222.2021.1870388,Journal of Management Information Systems,Unveiling the Hidden Truth of Drug Addiction: A Social Media Approach Using Similarity Network-Based Deep Learning,2021,38,1,166--195,https://www.tandfonline.com/doi/full/10.1080/07421222.2021.1870388,"Xie, Jiaheng and Zhang, Zhu and Liu, Xiao and Zeng, Daniel",,,
000748,article,10.1080/07421222.2017.1373008,Journal of Management Information Systems,"Platform Structures, Homing Preferences, and Homophilous Propensities in Online Social Networks",2017,34,3,768--802,https://www.tandfonline.com/doi/full/10.1080/07421222.2017.1373008,"Kwon, Hyeokkoo Eric and Oh, Wonseok and Kim, Taekyung",,,
000749,article,10.2753/MIS0742-1222300402,Journal of Management Information Systems,Neuroscience and a Nomological Network for the Understanding and Assessment of Emotions in Information Systems Research,2014,30,4,13--48,https://www.tandfonline.com/doi/abs/10.2753/MIS0742-1222300402,"Gregor, Shirley and Lin, Aleck C. H. and Gedeon, Tom and Riaz, Amir and Zhu, Dingyun",,,
000750,article,10.1080/07421222.2021.1912912,Journal of Management Information Systems,Chain of Values: Examining the Economic Impacts of Blockchain on the Value-Added Tax System,2021,38,2,288--313,https://www.tandfonline.com/doi/full/10.1080/07421222.2021.1912912,"Cho, Soohyun and Lee, Kyungha (Kari) and Cheong, Arion and No, Won Gyun and Vasarhelyi, Miklos A.",,,
000751,article,10.1080/07421222.2002.11045697,Journal of Management Information Systems,Leadership Effectiveness in Global Virtual Teams,2002,18,3,7--40,https://www.tandfonline.com/doi/abs/10.1080/07421222.2002.11045697,"Kayworth, Timothy R. and Leidner, Dorothy E.",,,
000752,article,10.2753/MIS0742-1222290304,Journal of Management Information Systems,Information Security Outsourcing with System Interdependency and Mandatory Security Requirement,2012,29,3,117--156,https://www.tandfonline.com/doi/abs/10.2753/MIS0742-1222290304,"Hui, Kai-Lung and Hui, Wendy and Yue, Wei T.",,,
000753,article,10.1080/07421222.2000.11045641,Journal of Management Information Systems,The Effects of MIS Steering Committees on Information Technology Management Sophistication,2000,17,2,207--230,https://www.tandfonline.com/doi/abs/10.1080/07421222.2000.11045641,"Karimi, Jahangir and Bhattacherjee, Anol and Somers, Toni M.",,,
000754,article,10.1080/07421222.2003.11045768,Journal of Management Information Systems,A Taxonomy of Antecedents of Information Systems Success: Variable Analysis Studies,2003,20,2,169--246,https://www.tandfonline.com/doi/abs/10.1080/07421222.2003.11045768,"LARSEN, KAI R.T.",,,
000755,article,10.1080/07421222.2021.1990615,Journal of Management Information Systems,Cure or Poison? Identity Verification and the Posting of Fake News on Social Media,2021,38,4,1011--1038,https://www.tandfonline.com/doi/full/10.1080/07421222.2021.1990615,"Wang, Shuting (Ada) and Pang, Min-Seok and Pavlou, Paul A.",,,
000756,article,10.1080/07421222.2021.1990618,Journal of Management Information Systems,When will I get out of the Hospital? Modeling Length of Stay using Comorbidity Networks,2021,38,4,1150--1184,https://www.tandfonline.com/doi/full/10.1080/07421222.2021.1990618,"Kalgotra, Pankush and Sharda, Ramesh",,,
000757,article,10.1080/07421222.2018.1451961,Journal of Management Information Systems,Strategic Visibility in Enterprise Social Media: Implications for Network Formation and Boundary Spanning,2018,35,2,647--682,https://www.tandfonline.com/doi/full/10.1080/07421222.2018.1451961,"Van Osch, Wietske and Steinfield, Charles W.",,,
000758,article,10.1080/07421222.2003.11045759,Journal of Management Information Systems,Software Piracy in the Workplace: A Model and Empirical Test,2003,20,1,153--177,https://www.tandfonline.com/doi/abs/10.1080/07421222.2003.11045759,,,,
000759,article,10.1080/07421222.2004.11045815,Journal of Management Information Systems,Evaluating and Tuning Predictive Data Mining Models Using Receiver Operating Characteristic Curves,2004,21,3,249--280,https://www.tandfonline.com/doi/abs/10.1080/07421222.2004.11045815,"SINHA, ATISH P. and MAY, JERROLD H.",,,
000760,article,10.2753/MIS0742-1222240103,Journal of Management Information Systems,The Impact of ERP Implementation on Business Process Outcomes: A Factor-Based Study,2007,24,1,101--134,https://www.tandfonline.com/doi/abs/10.2753/MIS0742-1222240103,"Karim, Jahangir and Somers, Toni M. and Bhattacherjee, Anol",,,
000761,article,10.2753/MIS0742-1222240409,Journal of Management Information Systems,Dynamics of Trust Revision: Using Health Infomediaries,2008,24,4,225--248,https://www.tandfonline.com/doi/abs/10.2753/MIS0742-1222240409,"Zahedi, Fatemeh ""Mariam"" and Song, Jaeki",,,
000762,article,10.1080/07421222.2018.1440778,Journal of Management Information Systems,Special Issue: Financial Information Systems and the Fintech Revolution,2018,35,1,12--18,https://www.tandfonline.com/doi/full/10.1080/07421222.2018.1440778,"Gomber, Peter and Kauffman, Robert J. and Parker, Chris and Weber, Bruce W.",,,
000763,article,10.1080/07421222.2001.11045666,Journal of Management Information Systems,An Integrative Contingency Model of Software Project Risk Management,2001,17,4,37--69,https://www.tandfonline.com/doi/abs/10.1080/07421222.2001.11045666,"Barki, Henri and Rivard, Suzanne and Talbot, Jean",,,
000764,article,10.1080/07421222.2004.11045802,Journal of Management Information Systems,Poaching and the Misappropriation of Information: Transaction Risks of Information Exchange,2004,21,2,87--107,https://www.tandfonline.com/doi/abs/10.1080/07421222.2004.11045802,"CLEMONS, ERIC K. and HITT, LORIN M.",,,
000765,article,10.2753/MIS0742-1222240211,Journal of Management Information Systems,Software Process Tailoring: An Empirical Investigation,2007,24,2,293--328,https://www.tandfonline.com/doi/abs/10.2753/MIS0742-1222240211,"Xu, Peng and Ramesh, Balasubramaniam",,,
000766,article,10.1080/07421222.1995.11518072,Journal of Management Information Systems,The Implementation of Business Process Reengineering,1995,12,1,109--144,https://www.tandfonline.com/doi/abs/10.1080/07421222.1995.11518072,"Grover, Varun and Jeong, Seung Ryul and Kettinger, William J. and Teng, James T.C.",,,
000767,article,10.1080/07421222.2001.11045662,Journal of Management Information Systems,Identifying Software Project Risks: An International Delphi Study,2001,17,4,5--36,https://www.tandfonline.com/doi/abs/10.1080/07421222.2001.11045662,"Schmidt, Roy and Lyytinen, Kalle and Keil, Mark and Cule, Paul",,,
000768,article,10.1080/07421222.2017.1394063,Journal of Management Information Systems,Information Security Control Theory: Achieving a Sustainable Reconciliation Between Sharing and Protecting the Privacy of Information,2017,34,4,1082--1112,https://www.tandfonline.com/doi/full/10.1080/07421222.2017.1394063,"Anderson, Chad and Baskerville, Richard L. and Kaul, Mala",,,
000769,article,10.1080/07421222.1993.11517992,Journal of Management Information Systems,Measuring the Organizational Impact of Information Technology Investment: An Exploratory Study,1993,10,1,97--122,https://www.tandfonline.com/doi/abs/10.1080/07421222.1993.11517992,"Mahmood, Mo Adam and Mann, Gary J.",,,
000770,article,10.1080/07421222.1995.11518061,Journal of Management Information Systems,Testing the Determinants of Microcomputer Usage via a Structural Equation Model,1995,11,4,87--114,https://www.tandfonline.com/doi/abs/10.1080/07421222.1995.11518061,"Igbaria, Magid and Guimaraes, Tor and Davis, Gordon B.",,,
000771,article,10.1080/07421222.1993.11517998,Journal of Management Information Systems,The Impact of Information Technology on the Organization of Economic Activity: The “Move to the Middle” Hypothesis,1993,10,2,9--35,https://www.tandfonline.com/doi/abs/10.1080/07421222.1993.11517998,"Clemons, Eric K. and Reddi, Sashidhar P. and Row, Michael C.",,,
000772,article,10.1080/07421222.2004.11045809,Journal of Management Information Systems,An Empirical Investigation of Collaborative Conflict Management Style in Group Support System-Based Global Virtual Teams,2004,21,3,185--222,https://www.tandfonline.com/doi/abs/10.1080/07421222.2004.11045809,"PAUL, SOUREN and SAMARAH, IMAD M. and SEETHARAMAN, PRIYA and MYKYTYN JR., PETER P.",,,
000773,article,10.1080/07421222.2016.1243969,Journal of Management Information Systems,"Early Predictions of Movie Success: The Who, What, and When of Profitability",2016,33,3,874--903,https://www.tandfonline.com/doi/full/10.1080/07421222.2016.1243969,"Lash, Michael T. and Zhao, Kang",,,
000774,article,10.1080/07421222.1999.11518249,Journal of Management Information Systems,Alignment Is Not Enough: Integrating Business and Information Technology Management with the Balanced Business Scorecard,1999,16,2,137--158,https://www.tandfonline.com/doi/abs/10.1080/07421222.1999.11518249,"Van Der Zee, J.T.M. and De Jong, Berend",,,
000775,article,10.1080/07421222.2015.1138573,Journal of Management Information Systems,Corporate Blogging and Job Performance: Effects of Work-related and Nonwork-related Participation,2015,32,4,285--314,https://www.tandfonline.com/doi/full/10.1080/07421222.2015.1138573,"Lu, Benjiang and Guo, Xunhua and Luo, Nianlong and Chen, Guoqing",,,
000776,article,10.2753/MIS0742-1222300410,Journal of Management Information Systems,Forming Interoperability Through Interorganizational Systems Standards,2014,30,4,269--298,https://www.tandfonline.com/doi/abs/10.2753/MIS0742-1222300410,"Zhao, Kexin and Xia, Mu",,,
000777,article,10.2753/MIS0742-1222240302,Journal of Management Information Systems,A Design Science Research Methodology for Information Systems Research,2007,24,3,45--77,https://www.tandfonline.com/doi/abs/10.2753/MIS0742-1222240302,"Peffers, Ken and Tuunanen, Tuure and Rothenberger, Marcus A. and Chatterjee, Samir",,,
000778,article,10.2753/MIS0742-1222300203,Journal of Management Information Systems,The Impact of Cloud Computing: Should the IT Department Be Organized as a Cost Center or a Profit Center?,2013,30,2,67--100,https://www.tandfonline.com/doi/abs/10.2753/MIS0742-1222300203,"Choudhary, Vidyanand and Vithayathil, Joseph",,,
000779,article,10.1080/07421222.2014.995564,Journal of Management Information Systems,Effects of Freemium Strategy in the Mobile App Market: An Empirical Study of Google Play,2014,31,3,326--354,https://www.tandfonline.com/doi/full/10.1080/07421222.2014.995564,"Liu, Charles Zhechao and Au, Yoris A. and Choi, Hoon Seok",,,
000780,article,10.1080/07421222.2019.1628908,Journal of Management Information Systems,"Generating Business Intelligence Through Social Media Analytics: Measuring Brand Personality with Consumer-, Employee-, and Firm-Generated Content",2019,36,3,893--930,https://www.tandfonline.com/doi/full/10.1080/07421222.2019.1628908,"Hu, Yuheng and Xu, Anbang and Hong, Yili and Gal, David and Sinha, Vibha and Akkiraju, Rama",,,
000781,article,10.1080/07421222.1987.11517796,Journal of Management Information Systems,A Performance Comparison of Optimistic versus Conservative Strategies during Partition Failures in Distributed Databases,1987,4,2,113--133,https://www.tandfonline.com/doi/abs/10.1080/07421222.1987.11517796,"Davidson, Susan B. and Winkler, Mark M.",,,
000782,article,10.1080/07421222.1995.11518078,Journal of Management Information Systems,Special Section: Strategic and Competitive Information Systems,1995,12,2,5--7,https://www.tandfonline.com/doi/abs/10.1080/07421222.1995.11518078,"Clemons, Eric K. and Row, Michael C.",,,
000783,article,10.1080/07421222.1995.11518067,Journal of Management Information Systems,Editorial Introduction,1995,12,1,3--7,https://www.tandfonline.com/doi/abs/10.1080/07421222.1995.11518067,"Zwass, Vladimir",,,
000784,article,10.1080/07421222.1988.11517809,Journal of Management Information Systems,Evolutionary Development of Decision Support Systems: Important Issues for Early Phases of Design,1988,4,4,77--92,https://www.tandfonline.com/doi/abs/10.1080/07421222.1988.11517809,"Sauter, Vicki L. and Schofer, Joseph L.",,,
000785,article,10.1080/07421222.1999.11518252,Journal of Management Information Systems,Editorial Introduction,1999,16,3,3--4,https://www.tandfonline.com/doi/abs/10.1080/07421222.1999.11518252,"Zwass, Vladimir",,,
000786,article,10.1080/07421222.1989.11517845,Journal of Management Information Systems,Editorial Introduction,1989,6,1,3--4,https://www.tandfonline.com/doi/abs/10.1080/07421222.1989.11517845,"Zwass, Vladimir",,,
000787,article,10.1080/07421222.2021.1958538,Journal of Management Information Systems,Editorial Introduction,2021,38,3,571--573,https://www.tandfonline.com/doi/full/10.1080/07421222.2021.1958538,"Zwass, Vladimir",,,
000788,article,10.1080/07421222.1985.11517732,Journal of Management Information Systems,The Impact of Electronic Information Carriers on the United States Postal Service: An Exploratory Survey,1985,2,2,86--102,https://www.tandfonline.com/doi/abs/10.1080/07421222.1985.11517732,"Zaki, Ahmed S.",,,
000789,article,10.1080/07421222.2004.11045818,Journal of Management Information Systems,Health of Electronic Communities: An Evolutionary Game Approach,2004,21,3,83--110,https://www.tandfonline.com/doi/abs/10.1080/07421222.2004.11045818,"GENG, XIANJUN and WHINSTON, ANDREW B. and ZHANG, HAN",,,
000790,article,10.2753/MIS0742-1222260309,Journal of Management Information Systems,Estimating Time Required to Reach Bid Levels in Online Auctions,2009,26,3,275--301,https://www.tandfonline.com/doi/abs/10.2753/MIS0742-1222260309,"Bandyopadhyay, Subhajyoti and Bandyopadhyay, Seema",,,
000791,article,10.1080/07421222.2002.11045689,Journal of Management Information Systems,An Approach to Distribution of Object-Oriented Applications in Loosely Coupled Networks,2002,18,3,195--234,https://www.tandfonline.com/doi/abs/10.1080/07421222.2002.11045689,"Purao, Sandeep and Jain, Hemant K. and Nazareth, Derek L.",,,
000792,article,10.1080/07421222.1998.11518188,Journal of Management Information Systems,Software Reuse: Survey and Research Directions,1998,14,4,113--147,https://www.tandfonline.com/doi/abs/10.1080/07421222.1998.11518188,"Kim, Yongbeom and Stohr, Edward A.",,,
000793,article,10.2753/MIS0742-1222240400,Journal of Management Information Systems,Special Issue: Trust in Online Environments,2008,24,4,5--11,https://www.tandfonline.com/doi/abs/10.2753/MIS0742-1222240400,"Benbasat, Izak and Gefen, David and Pavlou, Paul A.",,,
000794,article,10.1080/07421222.1985.11517735,Journal of Management Information Systems,Job Satisfaction and Information Systems Research,1985,2,3,21--36,https://www.tandfonline.com/doi/abs/10.1080/07421222.1985.11517735,"Cheney, Paul H. and Scarpello, Vida",,,
000795,article,10.1080/07421222.1998.11518182,Journal of Management Information Systems,Editorial Introduction,1998,14,4,3--4,https://www.tandfonline.com/doi/abs/10.1080/07421222.1998.11518182,"Zwass, Vladimir",,,
000796,article,10.1080/07421222.1995.11518090,Journal of Management Information Systems,"Learning, Working, and Innovation: A Case Study in the Insurance Industry",1995,12,3,43--64,https://www.tandfonline.com/doi/abs/10.1080/07421222.1995.11518090,"Henderson, John C. and Lentz, Christine M.A.",,,
000797,article,10.1080/07421222.1986.11517763,Journal of Management Information Systems,Integration of Computer Graphics and Statistical Procedures for Decision Support Systems,1986,3,2,63--82,https://www.tandfonline.com/doi/abs/10.1080/07421222.1986.11517763,"Smith, L. Douglas and Janson, Marius A.",,,
000798,article,10.1080/07421222.1987.11517779,Journal of Management Information Systems,POOL: A Semantic Model for Approximate Reasoning and Its Application in Decision Support,1987,3,4,65--78,https://www.tandfonline.com/doi/abs/10.1080/07421222.1987.11517779,"Zhang, Wen-Ran",,,
000799,article,10.1080/07421222.1996.11518131,Journal of Management Information Systems,A Framework for Addressing Group Judgment Biases with Group Technology,1996,13,3,7--24,https://www.tandfonline.com/doi/abs/10.1080/07421222.1996.11518131,"Lim, Lai-Huat and Benbasat, Izak",,,
000800,article,10.1080/07421222.2017.1334499,Journal of Management Information Systems,Training to Mitigate Phishing Attacks Using Mindfulness Techniques,2017,34,2,597--626,https://www.tandfonline.com/doi/full/10.1080/07421222.2017.1334499,"Jensen, Matthew L. and Dinger, Michael and Wright, Ryan T. and Thatcher, Jason Bennett",,,
000801,article,10.1080/07421222.1998.11518196,Journal of Management Information Systems,The Relevance of Application Domain Knowledge: Characterizing the Computer Program Comprehension Process,1998,15,1,51--78,https://www.tandfonline.com/doi/abs/10.1080/07421222.1998.11518196,"Shaft, Teresa M. and Vessey, Iris",,,
000802,article,10.1080/07421222.2004.11045784,Journal of Management Information Systems,Integrating Collaborative Processes and Quality Assurance Techniques: Experiences from Requirements Negotiation,2004,20,4,10--30,https://www.tandfonline.com/doi/abs/10.1080/07421222.2004.11045784,"GRÜNBACHER, PAUL and HALLING, MICHAEL and BIFFL, STEFAN and BIFFL, STEFAN and BOEHM, BARRY W.",,,
000803,article,10.1080/07421222.1992.11517950,Journal of Management Information Systems,Are Human-Factors People Really so Different? Comparisons of Interpersonal Behavior and Implications for Design Teams,1992,9,1,113--132,https://www.tandfonline.com/doi/abs/10.1080/07421222.1992.11517950,"McLeod, Poppy Lauretta",,,
000804,article,10.1080/07421222.1986.11517751,Journal of Management Information Systems,Editorial Introduction,1986,3,1,3--4,https://www.tandfonline.com/doi/abs/10.1080/07421222.1986.11517751,"Zwass, Vladimir",,,
000805,article,10.1080/07421222.2015.1029400,Journal of Management Information Systems,Push or Pull? A Website’s Strategic Choice of Content Delivery Mechanism,2015,32,1,291--321,https://www.tandfonline.com/doi/full/10.1080/07421222.2015.1029400,"Ma, Dan",,,
000806,article,10.2753/MIS0742-1222270400,Journal of Management Information Systems,Editorial Introduction,2011,27,4,5--8,https://www.tandfonline.com/doi/abs/10.2753/MIS0742-1222270400,"Zwass, Vladimir",,,
000807,article,10.1080/07421222.2005.11045846,Journal of Management Information Systems,A Pricing Mechanism for Digital Content Distribution Over Computer Networks,2005,22,2,121--139,https://www.tandfonline.com/doi/abs/10.1080/07421222.2005.11045846,"LANG, KARL REINER and VRAGOV, ROUMEN",,,
000808,article,10.1080/07421222.2020.1831776,Journal of Management Information Systems,Can “Gold Medal” Online Sellers Earn Gold? The Impact of Reputation Badges on Sales,2020,37,4,1099--1127,https://www.tandfonline.com/doi/full/10.1080/07421222.2020.1831776,"Cheng, Hsing Kenneth and Fan, Weiguo and Guo, Peipei and Huang, Hailiang and Qiu, Liangfei",,,
000809,article,10.2753/MIS0742-1222300209,Journal of Management Information Systems,Consumer Learning and Time-Locked Trials of Software Products,2013,30,2,239--268,https://www.tandfonline.com/doi/abs/10.2753/MIS0742-1222300209,"Dey, Debabrata and Lahiri, Atanu and Liu, Dengpan",,,
000810,article,10.1080/07421222.1996.11518116,Journal of Management Information Systems,An Empirical Test of the Contingency Approach to User Participation in Information Systems Development,1996,13,1,145--166,https://www.tandfonline.com/doi/abs/10.1080/07421222.1996.11518116,"Saleem, Naveed",,,
000811,article,10.1080/07421222.1992.11517958,Journal of Management Information Systems,Modeling the Profitability of Customer Relationships: Development and Impact of Barclays de Zoete Wedd’s BEATRICE,1992,9,2,53--76,https://www.tandfonline.com/doi/abs/10.1080/07421222.1992.11517958,"Stuchfield, Nicolas and Weber, Bruce W.",,,
000812,article,10.1080/07421222.1998.11518210,Journal of Management Information Systems,Determinants of Information Center Success,1998,15,2,95--117,https://www.tandfonline.com/doi/abs/10.1080/07421222.1998.11518210,"Essex, Patricia A. and Magal, Simha R. and Masteller, Douglas E.",,,
000813,article,10.1080/07421222.2019.1661095,Journal of Management Information Systems,A Wikipedia-based Method to Support Creative Idea Generation: The Role of Stimulus Relatedness,2019,36,4,1284--1312,https://www.tandfonline.com/doi/full/10.1080/07421222.2019.1661095,"Wang, Kai and Nickerson, Jeffrey V.",,,
000814,article,10.1080/07421222.2000.11045637,Journal of Management Information Systems,Private Markets for Public Goods: Pricing Strategies of Online Database Vendors,2000,17,1,59--85,https://www.tandfonline.com/doi/abs/10.1080/07421222.2000.11045637,,,,
000815,article,10.1080/07421222.1997.11518179,Journal of Management Information Systems,Supporting Inspections with an Electronic Meeting System,1997,14,3,165--178,https://www.tandfonline.com/doi/abs/10.1080/07421222.1997.11518179,"Van Genuchten, Michiel and Cornelissen, Wieger and Van Dijk, Cor",,,
000816,article,10.1080/07421222.1993.11518007,Journal of Management Information Systems,"Special Issue: Organizational Impact of Group Support Systems, Expert Systems, and Executive Information Systems",1993,10,3,3--6,https://www.tandfonline.com/doi/abs/10.1080/07421222.1993.11518007,"Nunamaker, Jay F. and Sprague, Ralph H.",,,
000817,article,10.2753/MIS0742-1222220301,Journal of Management Information Systems,Special Section: Human-Computer Interaction Research in Management Information Systems,2005,22,3,9--14,https://www.tandfonline.com/doi/abs/10.2753/MIS0742-1222220301,"ZHANG, PING and NAH, FIONA FUI-HOON and BENBASAT, IZAK",,,
000818,article,10.2753/MIS0742-1222230208,Journal of Management Information Systems,Accommodating Individual Preferences in the Categorization of Documents: A Personalized Clustering Approach,2006,23,2,173--201,https://www.tandfonline.com/doi/abs/10.2753/MIS0742-1222230208,"Wei, Chih-Ping and Chiang, Roger H.L. and Wu, Chia-Chen",,,
000819,article,10.2753/MIS0742-1222290402,Journal of Management Information Systems,Effect Mechanisms of Perceptual Congruence Between Information Systems Professionals and Users on Satisfaction with Service,2013,29,4,63--96,https://www.tandfonline.com/doi/abs/10.2753/MIS0742-1222290402,"Benlian, Alexander",,,
000820,article,10.1080/07421222.2010.11046065,Journal of Management Information Systems,"Index to Journal of Management Information Systems Volume 26, 2009-10",2010,26,4,359--363,https://www.tandfonline.com/doi/abs/10.1080/07421222.2010.11046065,,,,
000821,article,10.1080/07421222.1985.11517739,Journal of Management Information Systems,A Note on Information Attributes,1985,2,3,87--91,https://www.tandfonline.com/doi/abs/10.1080/07421222.1985.11517739,"Swanson, E. Burton",,,
000822,article,10.1080/07421222.2021.1962599,Journal of Management Information Systems,The Value of the Structural Power of the Chief Information Officer in Enhancing Forward-Looking Firm Performance*,2021,38,3,765--797,https://www.tandfonline.com/doi/full/10.1080/07421222.2021.1962599,"Feng, Cong and Patel, Pankaj C. and Fay, Scott",,,
000823,article,10.2753/MIS0742-1222230201,Journal of Management Information Systems,Special Section: Digital Economy and Information Technology Value,2006,23,2,7--11,https://www.tandfonline.com/doi/abs/10.2753/MIS0742-1222230201,"Clemons, Eric K. and Dewan, Rajiv M. and Kauffman, Robert J.",,,
000824,article,10.2753/MIS0742-1222300405,Journal of Management Information Systems,Enhancing User-Game Engagement Through Software Gaming Elements,2014,30,4,115--150,https://www.tandfonline.com/doi/abs/10.2753/MIS0742-1222300405,"Li, Mengxiang and Jiang, Qiqi and Tan, Chuan-Hoo and Wei, Kwok-Kee",,,
000825,article,10.1080/07421222.2003.11045834,Journal of Management Information Systems,"Examining the Role of ""Free"" Product-Augmenting Online Services in Pricing and Customer Retention Strategies",2005,22,1,355--377,https://www.tandfonline.com/doi/abs/10.1080/07421222.2003.11045834,"CHELLAPPA, RAMNATH K. and KUMAR, K. RAVI",,,
000826,article,10.1080/07421222.1994.11518040,Journal of Management Information Systems,An Examination of Information Technology’s Impact on the Value of Information and Expertise: Implications for Organizational Change,1994,11,2,59--73,https://www.tandfonline.com/doi/abs/10.1080/07421222.1994.11518040,"Sampler, Jeffrey L. and Short, James E.",,,
000827,article,10.1080/07421222.2014.1001258,Journal of Management Information Systems,Chasing Lemmings: Modeling IT-Induced Misperceptions About the Strategic Situation as a Reason for Flash Crashes,2015,31,4,88--108,https://www.tandfonline.com/doi/full/10.1080/07421222.2014.1001258,"Brandt, Tobias and Neumann, Dirk",,,
000828,article,10.1080/07421222.1987.11517793,Journal of Management Information Systems,On the Interdependencies between Record Structure and Access Path Design,1987,4,2,45--73,https://www.tandfonline.com/doi/abs/10.1080/07421222.1987.11517793,"March, Salvatore T. and Carlis, John V.",,,
000829,article,10.1080/07421222.1993.11518013,Journal of Management Information Systems,Methodology-Driven Use of Automated Support in Business Process Re-Engineering,1993,10,3,117--138,https://www.tandfonline.com/doi/abs/10.1080/07421222.1993.11518013,"Dennis, Alan R. and Daniels, Robert M. and Hayes, Glenda and Nunamaker, Jay F.",,,
000830,article,10.1080/07421222.2003.11045741,Journal of Management Information Systems,A Methodology for Analyzing Web-Based Qualitative Data,2003,19,4,213--246,https://www.tandfonline.com/doi/abs/10.1080/07421222.2003.11045741,,,,
000831,article,10.1080/07421222.1991.11517904,Journal of Management Information Systems,Justifying Investments in New Information Technologies,1991,7,4,71--89,https://www.tandfonline.com/doi/abs/10.1080/07421222.1991.11517904,"Dos Santos, Brian L.",,,
000832,article,10.1080/07421222.2004.11045817,Journal of Management Information Systems,Virtual Product Experience: Effects of Visual and Functional Control of Products on Perceived Diagnosticity and Flow in Electronic Shopping,2004,21,3,111--147,https://www.tandfonline.com/doi/abs/10.1080/07421222.2004.11045817,"JIANG, ZHENHUI and BENBASAT, IZAK",,,
000833,article,10.1080/07421222.1992.11517944,Journal of Management Information Systems,Editorial Introduction,1992,9,1,3--6,https://www.tandfonline.com/doi/abs/10.1080/07421222.1992.11517944,"Zwass, Vladimir",,,
000834,article,10.1080/07421222.1985.11517738,Journal of Management Information Systems,Organizational Size and Information System Sophistication,1985,2,3,78--86,https://www.tandfonline.com/doi/abs/10.1080/07421222.1985.11517738,"Lehman, John A.",,,
000835,article,10.1080/07421222.2018.1551762,Journal of Management Information Systems,Editorial Introduction,2019,36,1,1--10,https://www.tandfonline.com/doi/full/10.1080/07421222.2018.1551762,"Zwass, Vladimir",,,
000836,article,10.2753/MIS0742-1222300401,Journal of Management Information Systems,Special Issue: Neuroscience in Information Systems Research,2014,30,4,7--12,https://www.tandfonline.com/doi/abs/10.2753/MIS0742-1222300401,"Liang, Ting-Peng and vom Brocke, Jan",,,
000837,article,10.1080/07421222.1989.11517846,Journal of Management Information Systems,The Effect of Human–Computer Interchange Protocol on Decision Performance,1989,6,1,5--20,https://www.tandfonline.com/doi/abs/10.1080/07421222.1989.11517846,"Hale, David P. and Kasper, George M.",,,
000838,article,10.2753/MIS0742-1222250201,Journal of Management Information Systems,Special Issue: Impact of Information Systems on Market Structure and Function: Developing and Testing Theories,2008,25,2,7--12,https://www.tandfonline.com/doi/abs/10.2753/MIS0742-1222250201,"Clemons, Eric K. and Kauffman, Robert J. and Dewan, Rajiv M.",,,
000839,article,10.1080/07421222.2004.11045782,Journal of Management Information Systems,Collaborative Business Engineering: A Decade of Lessons from the Field,2004,20,4,85--114,https://www.tandfonline.com/doi/abs/10.1080/07421222.2004.11045782,"HENGST, MARIËLLE DEN and VREEDE, GERT-JAN DE",,,
000840,article,10.2753/MIS0742-1222220412,Journal of Management Information Systems,The Use of Cognitive Maps and Case-Based Reasoning for B2B Negotiation,2006,22,4,337--376,https://www.tandfonline.com/doi/abs/10.2753/MIS0742-1222220412,"LEE, KUN-CHANG and KWON, SOON-JAE",,,
