ID,ENTRYTYPE,doi,journal,title,year,volume,number,pages,url,author,language,dblp_key,metadata_source
000527,article,10.1057/PALGRAVE.EJIS.3000660,European Journal of Information Systems,Identifying healthcare actors involved in the adoption of information systems,2007,16,1,91--102,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000660,"Mantzana, Vasiliki and Themistocleous, Marinos and Irani, Zahir and Morabito, Vincenzo",,,
000528,article,10.1080/0960085X.2020.1863752,European Journal of Information Systems,Preventing the digital scars of COVID-19,2021,30,2,176--192,https://www.tandfonline.com/doi/full/10.1080/0960085X.2020.1863752,"Marabelli, Marco and Vaast, Emmanuelle and Li, Jingyao Lydia",,,
000529,article,10.1057/PALGRAVE.EJIS.3000369,European Journal of Information Systems,Operationalising the implementation puzzle - an argument for eclecticism in research and in practice,2000,9,3,132--147,https://www.tandfonline.com/doi/abs/10.1057/palgrave.ejis.3000369,"Marble, R P",,,
000530,article,10.1057/PALGRAVE.EJIS.3000489,European Journal of Information Systems,Technological switchbacks - the transition to Western information systems in privatised firms of the former East Germany,2004,13,2,115--132,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000489,"Marble, Robert P",,,
000531,article,10.1057/PALGRAVE.EJIS.3000398,European Journal of Information Systems,Knowledge management and the politics of knowledge - illustrations from complex products and systems,2001,10,2,99--112,https://www.tandfonline.com/doi/abs/10.1057/palgrave.ejis.3000398,"Marshall, N and Brady, T",,,
000532,article,10.1080/0960085X.2020.1831834,European Journal of Information Systems,The evolution of software development orchestration - current state and an agenda for future research,2020,29,5,443--457,https://www.tandfonline.com/doi/full/10.1080/0960085X.2020.1831834,"Maruping, Likoebe M. and Matook, Sabine",,,
000533,article,10.1057/EJIS.2009.24,European Journal of Information Systems,Role of collective ownership and coding standards in coordinating expertise in software project teams,2009,18,4,355--371,https://www.tandfonline.com/doi/full/10.1057/ejis.2009.24,"Maruping, Likoebe M and Zhang, Xiaojun and Venkatesh, Viswanath",,,
000534,article,10.1057/EJIS.2011.35,European Journal of Information Systems,Profiling grounded theory approaches in information systems research,2013,22,1,119--129,https://www.tandfonline.com/doi/full/10.1057/ejis.2011.35,"Matavire, Rangarirai and Brown, Irwin",,,
000535,article,10.1057/PALGRAVE.EJIS.3000610,European Journal of Information Systems,Business agility and diffusion of information technology,2006,15,2,116--119,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000610,"Mathiassen, Lars and Pries-Heje, Jan",,,
000536,article,10.1057/EJIS.2012.35,European Journal of Information Systems,How a professionally qualified doctoral student bridged the practice-research gap - a confessional account of Collaborative Practice Research,2013,22,4,475--492,https://www.tandfonline.com/doi/full/10.1057/ejis.2012.35,"Mathiassen, Lars and Sandberg, Anna",,,
000537,article,10.1080/0960085X.2020.1832867,European Journal of Information Systems,Complementary Technology Traces in Software Practice - A Retrospective Reflection over Sixteen Years of Evolution at Ericsson,2021,30,6,642--658,https://www.tandfonline.com/doi/full/10.1080/0960085X.2020.1832867,"Mathiassen, Lars and Sandberg, Anna",,,
000538,article,10.1057/EJIS.2013.28,European Journal of Information Systems,Forming an intention to act on recommendations given via online social networks,2015,24,1,76--92,https://www.tandfonline.com/doi/full/10.1057/ejis.2013.28,"Matook, Sabine and Brown, Susan A and Rolf, Johanna",,,
000539,article,10.1057/EJIS.2011.34,European Journal of Information Systems,The use of ethnography and grounded theory in the development of a management information system,2013,22,1,26--44,https://www.tandfonline.com/doi/full/10.1057/ejis.2011.34,"Mattarelli, Elisa and Bertolotti, Fabiola and Macrì, Diego Maria",,,
000540,article,10.1080/0960085X.2020.1787109,European Journal of Information Systems,Bitcoin investment - a mixed methods study of investment motivations,2021,30,3,261--285,https://www.tandfonline.com/doi/full/10.1080/0960085X.2020.1787109,"Mattke, Jens and Maier, Christian and Reis, Lea and Weitzel, Tim",,,
000541,article,10.1057/EJIS.2009.22,European Journal of Information Systems,The role of project management in ineffective decision making within Agile software development projects,2009,18,4,372--383,https://www.tandfonline.com/doi/full/10.1057/ejis.2009.22,"McAvoy, John and Butler, Tom",,,
000542,article,10.1057/PALGRAVE.EJIS.3000659,European Journal of Information Systems,Applying TAM across cultures - the need for caution,2007,16,1,81--90,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000659,"McCoy, Scott and Galletta, Dennis F and King, William R",,,
000543,article,10.1057/PALGRAVE.EJIS.3000436,European Journal of Information Systems,The Golden Circle - a way of arguing and acting about technology in the London Ambulance Service,2002,11,4,251--266,https://www.tandfonline.com/doi/abs/10.1057/palgrave.ejis.3000436,"Mcgrath, K",,,
000544,article,10.1080/0960085X.2019.1581441,European Journal of Information Systems,Information as a difference - toward a subjective theory of information,2019,28,4,355--369,https://www.tandfonline.com/doi/full/10.1080/0960085X.2019.1581441,"McKinney, Earl H. and Yoos, Charles J.",,,
000545,article,10.1057/EJIS.2011.43,European Journal of Information Systems,Information systems development as situated socio-technical change - a process approach,2012,21,2,176--191,https://www.tandfonline.com/doi/full/10.1057/ejis.2011.43,"McLeod, Laurie and Doolin, Bill",,,
000546,article,10.1080/0960085X.2020.1756003,European Journal of Information Systems,Ideological shifts in open source orchestration - examining the influence of licence choice and organisational participation on open source project outcomes,2020,29,5,500--520,https://www.tandfonline.com/doi/full/10.1080/0960085X.2020.1756003,"Medappa, Poonacha K. and Srivastava, Shirish C.",,,
000547,article,10.1057/EJIS.2010.35,European Journal of Information Systems,Toward an ‘IT Conflict-Resistance Theory' - action research during IT pre-implementation,2010,19,5,540--561,https://www.tandfonline.com/doi/full/10.1057/ejis.2010.35,"Meissonier, Régis and Houzé, Emmanuel",,,
000548,article,10.1057/EJIS.2008.17,European Journal of Information Systems,An institutional analysis on the dynamics of the interaction between standardizing and scaling processes - a case study from Ethiopia,2008,17,3,279--289,https://www.tandfonline.com/doi/full/10.1057/ejis.2008.17,"Mekonnen, Selamawit Molla and Sahay, Sundeep",,,
000549,article,10.1057/EJIS.2008.59,European Journal of Information Systems,Erratum - An institutional analysis on the dynamics of the interaction between standardizing and scaling processes - a case study from Ethiopia,2009,18,1,98--98,https://www.tandfonline.com/doi/full/10.1057/ejis.2008.59,"Mekonnen, Selamawit Molla and Sahay, Sundeep",,,
000550,article,10.1057/EJIS.2013.23,European Journal of Information Systems,An empirical investigation of Technology Readiness among medical staff based in Greek hospitals,2014,23,6,672--690,https://www.tandfonline.com/doi/full/10.1057/ejis.2013.23,"Melas, Christos D and Zampetakis, Leonidas A and Dimopoulou, Anastasia and Moustakis, Vassilis S",,,
000551,article,10.1080/0960085X.2020.1755207,European Journal of Information Systems,Building a complementary agenda for business process management and digital innovation,2020,29,3,208--219,https://www.tandfonline.com/doi/full/10.1080/0960085X.2020.1755207,"Mendling, Jan and Pentland, Brian T. and Recker, Jan",,,
000552,article,10.1057/EJIS.2009.14,European Journal of Information Systems,Understanding web site redesigns in small- and medium-sized enterprises (SMEs) - a U.K.-based study on the applicability of e-commerce Stage Models,2009,18,3,264--279,https://www.tandfonline.com/doi/full/10.1057/ejis.2009.14,"Alonso-Mendo, Fernando and Fitzgerald, Guy and Frias-Martinez, Enrique",,,
000553,article,10.1057/PALGRAVE.EJIS.3000413,European Journal of Information Systems,The role of boundaries in knowledge processes,2002,11,1,47--60,https://www.tandfonline.com/doi/abs/10.1057/palgrave.ejis.3000413,"Merali, Y",,,
000554,article,10.1057/PALGRAVE.EJIS.3000557,European Journal of Information Systems,Remembering Claudio - a note from his friends at Universities of Naples and Catanzaro,2005,14,5,459--460,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000557,"Mercurio, Riccardo and Martinez, Marcello and Moschera, Luigi and De Nito, Ernesto and Mangia, Gianluigi and Canonico, Paolo",,,
000555,article,10.1057/PALGRAVE.EJIS.3000656,European Journal of Information Systems,External Web content and its influence on organizational performance,2007,16,1,66--80,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000656,"Meroño-Cerdan, Angel L and Soto-Acosta, Pedro",,,
000556,article,10.1080/0960085X.2018.1524420,European Journal of Information Systems,"Critical review of organisation-technology sensemaking - towards technology materiality, discovery, and action",2019,28,2,205--232,https://www.tandfonline.com/doi/full/10.1080/0960085X.2018.1524420,"Mesgari, Mostafa and Okoli, Chitu",,,
000557,article,10.1057/EJIS.2008.56,European Journal of Information Systems,"Information infrastructure, governance, and socio-economic development in developing countries",2009,18,1,52--65,https://www.tandfonline.com/doi/full/10.1057/ejis.2008.56,"Meso, Peter and Musa, Philip and Straub, Detmar and Mbarika, Victor",,,
000558,article,10.1057/S41303-017-0046-1,European Journal of Information Systems,Service robots in hospitals - new perspectives on niche evolution and technology affordances,2017,26,5,451--468,https://www.tandfonline.com/doi/full/10.1057/s41303-017-0046-1,"Mettler, Tobias and Sprenger, Michaela and Winter, Robert",,,
000559,article,10.1057/PALGRAVE.EJIS.3000614,European Journal of Information Systems,Is mobile email functional or dysfunctional? Two perspectives on mobile email usage,2006,15,3,252--260,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000614,"Middleton, Catherine A and Cukier, Wendy",,,
000560,article,10.1057/EJIS.2014.21,European Journal of Information Systems,When mobile is the norm - researching mobile information systems and mobility as post-adoption phenomena,2014,23,5,503--512,https://www.tandfonline.com/doi/full/10.1057/ejis.2014.21,"Middleton, Catherine and Scheepers, Rens and Tuunainen, Virpi Kristiina",,,
000561,article,10.1080/0960085X.2020.1740618,European Journal of Information Systems,Examining the interplay between big data analytics and contextual factors in driving process innovation capabilities,2020,29,3,260--287,https://www.tandfonline.com/doi/full/10.1080/0960085X.2020.1740618,"Mikalef, Patrick and Krogstie, John",,,
000562,article,10.1080/0960085X.2020.1808541,European Journal of Information Systems,IT architecture flexibility and IT governance decentralisation as drivers of IT-enabled dynamic capabilities and competitive performance - The moderating effect of the external environment,2021,30,5,512--540,https://www.tandfonline.com/doi/full/10.1080/0960085X.2020.1808541,"Mikalef, Patrick and Pateli, Adamantia and van de Wetering, Rogier",,,
000563,article,10.1057/EJIS.2013.17,European Journal of Information Systems,Cultural and generational influences on privacy concerns - a qualitative study in seven European countries,2014,23,2,103--125,https://www.tandfonline.com/doi/abs/10.1057/ejis.2013.17,"Miltgen, Caroline Lancelot and Peyrat-Guillard, Dominique",,,
000564,article,10.1057/PALGRAVE.EJIS.3000704,European Journal of Information Systems,"Deciding to upgrade packaged software - a comparative case study of motives, contingencies and dependencies",2007,16,5,555--567,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000704,"Min Khoo, Huoy and Robey, Daniel",,,
000565,article,10.1057/PALGRAVE.EJIS.3000696,European Journal of Information Systems,Ranking journals in business and management - a statistical analysis of the Harzing data set,2007,16,4,303--316,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000696,"Mingers, John and Harzing, Anne-Wil",,,
000566,article,10.1057/PALGRAVE.EJIS.3000493,European Journal of Information Systems,Configuring peer-to-peer software - an empirical study of how users react to the regulatory features of software,2004,13,2,95--102,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000493,"Mlcakova, Adela and Whitley, Edgar A",,,
000567,article,10.1057/S41303-017-0035-4,European Journal of Information Systems,The public procurement of information systems - dialectics in requirements specification,2017,26,2,143--163,https://www.tandfonline.com/doi/full/10.1057/s41303-017-0035-4,"Moe, Carl Erik and Newman, Mike and Sein, Maung Kyaw",,,
000568,article,10.1057/EJIS.2011.47,European Journal of Information Systems,Escaping ‘localisms' in IT sourcing - tracing changes in institutional logics in an Italian firm,2012,21,4,388--403,https://www.tandfonline.com/doi/full/10.1057/ejis.2011.47,"Mola, Lapo and Carugati, Andrea",,,
000569,article,10.1057/PALGRAVE.EJIS.3000623,European Journal of Information Systems,Adding clicks to bricks - a case study of e-commerce adoption by a Catalan small retailer,2006,15,4,424--438,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000623,"Molla, Alemayehu and Heeks, Richard and Balcells, Isaac",,,
000570,article,10.1057/EJIS.2012.8,European Journal of Information Systems,Trans-situated use of integrated information systems,2012,21,6,608--620,https://www.tandfonline.com/doi/full/10.1057/ejis.2012.8,"Monteiro, Eric and Rolland, Knut H",,,
000571,article,10.1057/PALGRAVE.EJIS.3000689,European Journal of Information Systems,From requirements to implementations - a model-driven approach for web development,2007,16,4,407--419,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000689,"Montero, Susana and Díaz, Paloma and Aedo, Ignacio",,,
000572,article,10.1057/S41303-017-0058-X,European Journal of Information Systems,Which phish get caught? An exploratory study of individuals′ susceptibility to phishing,2017,26,6,564--584,https://www.tandfonline.com/doi/full/10.1057/s41303-017-0058-x,"Moody, Gregory D. and Galletta, Dennis F. and Dunn, Brian Kimball",,,
000573,article,10.1057/S41303-016-0027-9,European Journal of Information Systems,"It's complicated - explaining the relationship between trust, distrust, and ambivalence in online transaction relationships using polynomial regression analysis and response surface analysis",2017,26,4,379--413,https://www.tandfonline.com/doi/full/10.1057/s41303-016-0027-9,"Moody, Gregory D. and Lowry, Paul Benjamin and Galletta, Dennis F.",,,
000574,article,10.1057/PALGRAVE.EJIS.3000586,European Journal of Information Systems,Challenging wisdom,2005,14,5,522--523,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000586,"Morazzoni, Anna Maria",,,
000575,article,10.1057/EJIS.2012.44,European Journal of Information Systems,Exploring value networks: theorising the creation and capture of value with open source software,2013,22,5,569--588,https://www.tandfonline.com/doi/full/10.1057/ejis.2012.44,"Morgan, Lorraine and Feller, Joseph and Finnegan, Patrick",eng,,
000576,article,10.1057/PALGRAVE.EJIS.3000455,European Journal of Information Systems,"Technology-driven and model-driven approaches to group decision support - focus, research philosophy, and key concepts",2003,12,2,110--126,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000455,"Morton, Alec and Ackermann, Fran and Belton, Valerie",,,
000577,article,10.1080/0960085X.2020.1817802,European Journal of Information Systems,Knowledge sharing in two cultures - the moderating effect of national culture on perceived knowledge quality in online communities,2021,30,6,623--641,https://www.tandfonline.com/doi/full/10.1080/0960085X.2020.1817802,"Moser, Christine and Deichmann, Dirk",,,
000578,article,10.1057/EJIS.2009.37,European Journal of Information Systems,Another road to IT turnover - the entrepreneurial path,2009,18,5,498--521,https://www.tandfonline.com/doi/full/10.1057/ejis.2009.37,"Mourmant, Gaëtan and Gallivan (Mike), Michael J and Kalika, Michel",,,
000579,article,10.1057/PALGRAVE.EJIS.3000357,European Journal of Information Systems,"‘Requirements-Uncertainty' - Is it best formulated as a latent, aggregate or profile construct?",2000,9,2,82--90,https://www.tandfonline.com/doi/abs/10.1057/palgrave.ejis.3000357,"Moynihan, T",,,
000580,article,10.1080/0960085X.2018.1451811,European Journal of Information Systems,An elaborated action design research process model,2019,28,1,6--20,https://www.tandfonline.com/doi/full/10.1080/0960085X.2018.1451811,"Mullarkey, Matthew T. and Hevner, Alan R.",,,
000581,article,10.1057/EJIS.2016.2,European Journal of Information Systems,"Utilizing big data analytics for information systems research - challenges, promises and guidelines",2016,25,4,289--302,https://www.tandfonline.com/doi/full/10.1057/ejis.2016.2,"Müller, Oliver and Junglas, Iris and Brocke, Jan vom and Debortoli, Stefan",,,
000582,article,10.1057/PALGRAVE.EJIS.3000462,European Journal of Information Systems,Identifying software project risks in Nigeria - an International Comparative Study,2003,12,3,182--194,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000462,"Mursu, Anja and Lyytinen, Kalle and Soriyan, H A and Korpela, Mikko",,,
000583,article,10.1057/PALGRAVE.EJIS.3000467,European Journal of Information Systems,How organizations adopt information system process innovations - a longitudinal analysis,2004,13,1,35--51,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000467,"Mustonen-ollila, Erja and Lyytinen, Kalle",,,
000584,article,10.1080/0960085X.2021.1955468,European Journal of Information Systems,EJIS moving up in the rankings,2021,30,5,475--475,https://www.tandfonline.com/doi/full/10.1080/0960085X.2021.1955468,"Myers, Michael D.",,,
000585,article,10.1080/0960085X.2021.1889346,European Journal of Information Systems,The way forward,2021,30,1,1--2,https://www.tandfonline.com/doi/full/10.1080/0960085X.2021.1889346,"Myers, Michael D.",,,
000586,article,10.1080/0960085X.2021.1946252,European Journal of Information Systems,Is there a shift from positivity to negativity about technology in the field of IS?,2021,30,4,357--358,https://www.tandfonline.com/doi/full/10.1080/0960085X.2021.1946252,"Myers, Michael D.",,,
000587,article,10.1057/EJIS.2009.10,European Journal of Information Systems,What levels of moral reasoning and values explain adherence to information security rules? An empirical study,2009,18,2,126--139,https://www.tandfonline.com/doi/full/10.1057/ejis.2009.10,"Myyry, Liisa and Siponen, Mikko and Pahnila, Seppo and Vartiainen, Tero and Vance, Anthony",eng,,
000588,article,10.1080/0960085X.2020.1771222,European Journal of Information Systems,A multi-level influence model of COVID-19 themed cybercrime,2020,29,3,306--321,https://www.tandfonline.com/doi/full/10.1080/0960085X.2020.1771222,"Naidoo, Rennie",,,
000589,article,10.1057/EJIS.2014.34,European Journal of Information Systems,Economic decision criteria for the migration to cloud storage,2016,25,1,16--28,https://www.tandfonline.com/doi/full/10.1057/ejis.2014.34,"Naldi, Maurizio and Mastroeni, Loretta",,,
000590,article,10.1057/EJIS.2010.49,European Journal of Information Systems,Contrarian information systems studies,2010,19,6,687--688,https://www.tandfonline.com/doi/full/10.1057/ejis.2010.49,"Nandhakumar, Joe",,,
000591,article,10.1057/EJIS.2011.40,European Journal of Information Systems,Moderating a discourse on the moderating effects in the study of top management support,2011,20,6,691--692,https://www.tandfonline.com/doi/full/10.1057/ejis.2011.40,"Nandhakumar, Joe and Baskerville, Richard",,,
000592,article,10.1057/EJIS.2011.32,European Journal of Information Systems,Building contextual ambidexterity in a software company to improve firm-level coordination,2011,20,6,674--690,https://www.tandfonline.com/doi/full/10.1057/ejis.2011.32,"Napier, Nannette P and Mathiassen, Lars and Robey, Daniel",,,
000593,article,10.1057/PALGRAVE.EJIS.3000561,European Journal of Information Systems,"Governance, architecture and action - Claudio's Shih",2005,14,5,492--494,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000561,"Navarra, Diego D",,,
000594,article,10.1057/PALGRAVE.EJIS.3000682,European Journal of Information Systems,Charismatic leadership and user acceptance of information technology,2007,16,4,494--510,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000682,"Neufeld, Derrick J and Dong, Linying and Higgins, Chris",,,
000595,article,10.1057/PALGRAVE.EJIS.3000633,European Journal of Information Systems,Facilitating - or inhibiting - knowing in practice,2006,15,5,441--445,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000633,"Newell, Sue and Galliers, Robert D",,,
000596,article,10.1057/EJIS.2008.16,European Journal of Information Systems,Rapid business and IT change - drivers for strategic information systems planning?,2008,17,3,198--218,https://www.tandfonline.com/doi/full/10.1057/ejis.2008.16,"Newkirk, Henry E and Lederer, Albert L and Johnson, Alice M",,,
000597,article,10.1057/PALGRAVE.EJIS.3000539,European Journal of Information Systems,Making ERPs work - accountants and the introduction of ERP systems,2005,14,3,258--272,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000539,"Newman, Mike and Westrup, Chris",,,
000598,article,10.1080/0960085X.2020.1816144,European Journal of Information Systems,Design principles for learning analytics information systems in higher education,2021,30,5,541--568,https://www.tandfonline.com/doi/full/10.1080/0960085X.2020.1816144,"Nguyen, Andy and Tuunanen, Tuure and Gardner, Lesley and Sheridan, Don",,,
000599,article,10.1080/0960085X.2018.1435229,European Journal of Information Systems,"Phronesis, argumentation and puzzle solving in IS research - illustrating an approach to phronetic IS research practice",2018,27,3,347--366,https://www.tandfonline.com/doi/full/10.1080/0960085X.2018.1435229,"Ngwenyama, Ojelanki and Klein, Stefan",,,
000600,article,10.1057/EJIS.2012.56,European Journal of Information Systems,Using organizational influence processes to overcome IS implementation barriers - lessons from a longitudinal case study of SPI implementation,2014,23,2,205--222,https://www.tandfonline.com/doi/abs/10.1057/ejis.2012.56,"Ngwenyama, Ojelanki and Nielsen, Peter Axel",,,
000601,article,10.1057/EJIS.2010.18,European Journal of Information Systems,Software process improvement with weak management support - an analysis of the dynamics of intra-organizational alliances in IS change initiatives,2010,19,3,303--319,https://www.tandfonline.com/doi/full/10.1057/ejis.2010.18,"Ngwenyama, Ojelanki and Nørbjerg, Jacob",,,
000602,article,10.1057/EJIS.2012.26,European Journal of Information Systems,A method for taxonomy development and its application in information systems,2013,22,3,336--359,https://www.tandfonline.com/doi/full/10.1057/ejis.2012.26,"Nickerson, Robert C and Varshney, Upkar and Muntermann, Jan",,,
000603,article,10.1057/EJIS.2016.3,European Journal of Information Systems,The inner and the outer model in explanatory design theory - the case of designing electronic feedback systems,2016,25,4,303--316,https://www.tandfonline.com/doi/full/10.1057/ejis.2016.3,"Niehaves, Bjoern and Ortbach, Kevin",,,
000604,article,10.1057/EJIS.2013.19,European Journal of Information Systems,Internet adoption by the elderly - employing IS technology acceptance theories for understanding the age-related digital divide,2014,23,6,708--726,https://www.tandfonline.com/doi/full/10.1057/ejis.2013.19,"Niehaves, Björn and Plattfaut, Ralf",,,
000605,article,10.1057/S41303-016-0026-X,European Journal of Information Systems,Useful business cases - value creation in IS projects,2017,26,1,66--83,https://www.tandfonline.com/doi/full/10.1057/s41303-016-0026-x,"Nielsen, Peter Axel and Persson, John Stouby",,,
000606,article,10.1057/S41303-016-0025-Y,European Journal of Information Systems,Information systems security policy implementation in practice - from best practices to situated practices,2017,26,1,1--20,https://www.tandfonline.com/doi/full/10.1057/s41303-016-0025-y,"Niemimaa, Elina and Niemimaa, Marko",,,
000607,article,10.1080/0960085X.2019.1624141,European Journal of Information Systems,Abductive innovations in information security policy development - an ethnographic study,2019,28,5,566--589,https://www.tandfonline.com/doi/full/10.1080/0960085X.2019.1624141,"Niemimaa, Marko and Niemimaa, Elina",,,
000608,article,10.1057/EJIS.2012.3,European Journal of Information Systems,Conceptualising improvisation in information systems security,2012,21,6,592--607,https://www.tandfonline.com/doi/full/10.1057/ejis.2012.3,"Njenga, Kennedy and Brown, Irwin",,,
000609,article,10.1057/PALGRAVE.EJIS.3000647,European Journal of Information Systems,Implementing enterprise content management - from evolution through strategy to contradictions out-of-the-box,2006,15,6,648--662,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000647,"Nordheim, Stig and Päivärinta, Tero",,,
000610,article,10.1057/EJIS.2012.2,European Journal of Information Systems,Mediating the intersections of organizational routines during the introduction of a health IT system,2012,21,5,552--569,https://www.tandfonline.com/doi/full/10.1057/ejis.2012.2,"Novak, Laurie and Brooks, JoAnn and Gadd, Cynthia and Anders, Shilo and Lorenzi, Nancy",,,
000611,article,10.1057/EJIS.2016.6,European Journal of Information Systems,Collaborative partner or opponent - How the messenger influences the deaf effect in IT projects,2016,25,6,534--552,https://www.tandfonline.com/doi/full/10.1057/ejis.2016.6,"Nuijten, Arno and Keil, Mark and Commandeur, Harry",,,
000612,article,10.1057/S41303-017-0049-Y,European Journal of Information Systems,Balancing exploration and exploitation of IT resources - the influence of Digital Business Intensity on perceived organizational performance,2017,26,5,469--488,https://www.tandfonline.com/doi/full/10.1057/s41303-017-0049-y,"Nwankpa, Joseph K. and Datta, Pratim",,,
000613,article,10.1057/PALGRAVE.EJIS.3000451,European Journal of Information Systems,Theory with everything?,2003,12,1,1--2,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000451,"O'keefe, Bob",,,
000614,article,10.1057/PALGRAVE.EJIS.3000364,European Journal of Information Systems,Editorial,2000,9,2,59--59,https://www.tandfonline.com/doi/abs/10.1057/palgrave.ejis.3000364,"O'Keefe, Bob and Paul, Ray",,,
000615,article,10.1057/PALGRAVE.EJIS.3000346,European Journal of Information Systems,Editorial,2000,9,1,1--2,https://www.tandfonline.com/doi/abs/10.1057/palgrave.ejis.3000346,"O'Keefe, Bob and Paul, Ray",,,
000616,article,10.1057/PALGRAVE.EJIS.3000389,European Journal of Information Systems,"Editorial Volume 10, Issue 1",2001,10,1,1--1,https://www.tandfonline.com/doi/abs/10.1057/palgrave.ejis.3000389,"O'Keefe, Bob and Paul, Ray",,,
000617,article,10.1057/PALGRAVE.EJIS.3000419,European Journal of Information Systems,"Editorial Volume 11, Issue 1",2002,11,1,1--2,https://www.tandfonline.com/doi/abs/10.1057/palgrave.ejis.3000419,"O'Keefe, Bob and Paul, Ray",,,
000618,article,10.1057/PALGRAVE.EJIS.3000649,European Journal of Information Systems,New frontiers for information systems research - computer art as an information system,2006,15,6,617--626,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000649,"Oates, Briony J",,,
000619,article,10.1080/0960085X.2017.1387714,European Journal of Information Systems,Conceptualizing business-to-thing interactions - A sociomaterial perspective on the Internet of Things,2018,27,4,486--502,https://www.tandfonline.com/doi/full/10.1080/0960085X.2017.1387714,"Oberländer, Anna Maria and Röglinger, Maximilian and Rosemann, Michael and Kees, Alexandra",,,
000620,article,10.1057/EJIS.2013.18,European Journal of Information Systems,A systematic methodology for privacy impact assessments - a design science approach,2014,23,2,126--150,https://www.tandfonline.com/doi/abs/10.1057/ejis.2013.18,"Oetzel, Marie Caroline and Spiekermann, Sarah",,,
000621,article,10.1057/PALGRAVE.EJIS.3000441,European Journal of Information Systems,Editorial,2002,11,4,235--235,https://www.tandfonline.com/doi/abs/10.1057/palgrave.ejis.3000441,"O'keefe, Bob and Paul, Ray",,,
000622,article,10.1057/EJIS.2009.48,European Journal of Information Systems,The effects of infrastructure and policy on e-business in Latin America and Sub-Saharan Africa,2010,19,1,5--20,https://www.tandfonline.com/doi/full/10.1057/ejis.2009.48,"Okoli, Chitu and Mbarika, Victor W A and McCoy, Scott",,,
000623,article,10.1057/EJIS.2010.52,European Journal of Information Systems,Alignment within the corporate IT unit - an analysis of software testing and development,2011,20,1,48--68,https://www.tandfonline.com/doi/full/10.1057/ejis.2010.52,"Onita, Colin and Dhaliwal, Jasbir",,,
000624,article,10.1057/PALGRAVE.EJIS.3000450,European Journal of Information Systems,Consumer search in electronic markets - an experimental analysis of travel services,2003,12,1,30--40,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000450,"Öörni, Anssi",,,
000625,article,10.1057/PALGRAVE.EJIS.3000639,European Journal of Information Systems,Material knowing - the scaffolding of human knowledgeability,2006,15,5,460--466,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000639,"Orlikowski, Wanda J",,,
000626,article,10.1080/0960085X.2019.1709575,European Journal of Information Systems,Conceptualisation and validation of system use reduction as a self-regulatory IS use behaviour,2020,29,1,44--64,https://www.tandfonline.com/doi/full/10.1080/0960085X.2019.1709575,"Osatuyi, Babajide and Turel, Ofir",,,
000627,article,10.1057/EJIS.2010.55,European Journal of Information Systems,Memorandum on design-oriented information systems research,2011,20,1,7--10,https://www.tandfonline.com/doi/full/10.1057/ejis.2010.55,"Österle, Hubert and Becker, Jörg and Frank, Ulrich and Hess, Thomas and Karagiannis, Dimitris and Krcmar, Helmut and Loos, Peter and Mertens, Peter and Oberweis, Andreas and Sinz, Elmar J",,,
000628,article,10.1057/PALGRAVE.EJIS.3000638,European Journal of Information Systems,Commentary on Karl E. Weick's ‘The role of imagination in the organizing of knowledge',2006,15,5,457--459,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000638,"Oswick, Cliff",,,
000629,article,10.1057/PALGRAVE.EJIS.3000652,European Journal of Information Systems,An empirical study on Web-based services and customer loyalty,2006,15,6,527--541,https://www.tandfonline.com/doi/full/10.1057/palgrave.ejis.3000652,"Otim, Samuel and Grover, Varun",,,
000630,article,10.1080/0960085X.2019.1598609,European Journal of Information Systems,How long can this party last? What the rise and fall of OR/MS can teach us about the future of business analytics,2019,28,5,473--495,https://www.tandfonline.com/doi/full/10.1080/0960085X.2019.1598609,"Otondo, Robert F.",,,
