ID,ENTRYTYPE,file,doi,grobid-version,journal,title,volume,number,author,year,note
0000000314,article,data/pdfs/15_4/Smith2006.pdf,10.1057/PALGRAVE.EJIS.3000624,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Offshoring Information Technology,15,4,"Carmel, Erran and Tjia, Paul and Smith, Steve",,Book review
0000000315,article,data/pdfs/17_5/KuechlerJrVaishnavi2008.pdf,10.1057/EJIS.2008.40,lfoppiano/grobid:0.8.1,European Journal of Information Systems,On theory development in design science research: anatomy of a research project,17,5,"Kuechler, Bill and Vaishnavi, Vijay",,
0000000316,article,data/pdfs/25_4/MullerJunglasBrockeEtAl2016.pdf,10.1057/EJIS.2016.2,lfoppiano/grobid:0.8.1,European Journal of Information Systems,"Utilizing big data analytics for information systems research: challenges, promises and guidelines",25,4,"Müller, Oliver and Junglas, Iris and Vom Brocke, Jan and Debortoli, Stefan",2016,
0000000317,article,data/pdfs/14_5/Emery2005.pdf,10.1057/PALGRAVE.EJIS.3000571,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Claudio Ciborra: convenor of information systems October 2000 to February 2005,14,5,"Emery, Sarah",2001,
0000000318,article,data/pdfs/11_1/Merali2002.pdf,10.1057/PALGRAVE/EJIS/3000413,lfoppiano/grobid:0.8.1,European Journal of Information Systems,The role of boundaries in knowledge processes,11,1,"Merali, Y. and Meraliȱwarwick, Yasmin and Ac and Uk",,
0000000319,article,data/pdfs/31_1/Designing financial education applications for development applying action design research in Cambodian countryside.pdf,10.1080/0960085X.2021.1978341,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Designing financial education applications for development: applying action design research in Cambodian countryside,31,1,"Zaitsev, Anna and Mankinen, Salla and Brown, Irwin and Osei-Bryson, Kweku-Muata and Meso, Peter",,
0000000320,article,data/pdfs/30_1/JensenDurcikovaWright2021.pdf,10.1080/0960085X.2020.1793696,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Using susceptibility claims to motivate behaviour change in IT security,30,1,"Jensen, Matthew L and Durcikova, Alexandra and Wright, Ryan T and Te'eni, Dov and Hovav, Anat and Contact, Ryan T and Wright",,
0000000321,article,data/pdfs/17_3/WangAhmedRafiq2008.pdf,10.1057/EJIS.2008.12,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Knowledge management orientation: construct development and empirical validation,17,3,"Wang, Catherine L and Ahmed, Pervaiz K and Rafiq, Mohammed",2008,
0000000322,article,data/pdfs/2_3/Hochstrasser_Quality Engineeri.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Quality engineering: a new framework applied to justifying and prioritising IT investments,2,3,"Hochstrasser, B.",,
0000000323,article,data/pdfs/2_1/Book_review_7.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Edited by TONY CORNFORD The Information Society: Evolving Landscapes,2,1,"Berleur, J. and Clement, A. and Sizer, R. and Whitehouse, D.",,Book review
0000000324,article,data/pdfs/26_4/LaumerMaierWeitzel2017.pdf,10.1057/S41303-016-0029-7,lfoppiano/grobid:0.8.1,European Journal of Information Systems,"Information quality, user satisfaction, and the manifestation of workarounds: a qualitative and quantitative study of enterprise content management system users",26,4,"Laumer, Sven and Maier, Christian and Weitzel, Tim and Al",2017,
0000000325,article,data/pdfs/19_6/Grant2010.pdf,10.1057/EJIS.2010.50,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Reconceptualizing the concept of business and IT alignment: from engineering to agriculture,19,6,"Grant, Gerald",,
0000000326,article,data/pdfs/16_1/GalliersWhitley2007.pdf,10.1057/PALGRAVE.EJIS.3000662,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Vive les differences? Developing a profile of European information systems research as a basis for international comparisons,16,1,"Galliers, Robert D and Whitley, Edgar A",,
0000000327,article,data/pdfs/18_1/ManganKelly2009.pdf,10.1057/EJIS.2008.60,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Information systems and the allure of organisational integration: a cautionary tale from the Irish financial services sector,18,1,"Mangan, Anita and Kelly, ´amas",2009,
0000000328,article,data/pdfs/31_2/When crowds play god a Promethean perspective on crowdfunding.pdf,10.1080/0960085X.2020.1860655,lfoppiano/grobid:0.8.1,European Journal of Information Systems,When crowds play god: a Promethean perspective on crowdfunding,31,2,"Conboy, Kieran and Gleasure, Rob and Morgan, Lorraine and Myers, Michael and Pentland, Brian",,
0000000329,article,data/pdfs/2_1/Madon_Computer-Based Informati.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Computer-based information systems for development planning: managing human resources,2,1,"Madon, S.",,
0000000330,article,data/pdfs/23_4/HabjanAndriopoulosGotsi2014.pdf,10.1057/EJIS.2014.2,lfoppiano/grobid:0.8.1,European Journal of Information Systems,The role of GPS-enabled information in transforming operational decision making: an exploratory study,23,4,"Habjan, Andreja and Andriopoulos, Constantine and Gotsi, Manto",2014,
0000000331,article,data/pdfs/15_6/Paul2006b.pdf,10.1057/PALGRAVE.EJIS.3000655,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Making the changes,15,6,"Paul, Ray J",,
0000000332,article,data/pdfs/9_1/SalmelaLedererReponen2000.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Information systems planning in a turbulent environment,9,1,"Salmela, H. and Lederer, A. L and Reponen, T.",,
0000000333,article,data/pdfs/13_1/MustonenollilaLyytinen2004.pdf,10.1057/PALGRAVE.EJIS.3000467,lfoppiano/grobid:0.8.1,European Journal of Information Systems,How organizations adopt information system process innovations: a longitudinal analysis,13,1,"Mustonen-Ollila, Erja and Lyytinen, Kalle",,
0000000334,article,data/pdfs/15_6/KositanuritNgwenyamaOseiBryson2006.pdf,10.1057/PALGRAVE.EJIS.3000654,lfoppiano/grobid:0.8.1,European Journal of Information Systems,An exploration of factors that impact individual performance in an ERP environment: an analysis using multiple analytical techniques,15,6,"Kositanurit, Boontaree and Ngwenyama, Ojelanki and Osei-Bryson, Muata",,
0000000335,article,data/pdfs/6_2/3000261a.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,The role of context in decision making: some implications for database design,6,2,"Grimshaw, D. J and Mott, P. L and Roberts, S. A",,
0000000336,article,data/pdfs/17_1/DickingerAramiMeyer2008.pdf,10.1057/PALGRAVE.EJIS.3000726,lfoppiano/grobid:0.8.1,European Journal of Information Systems,The role of perceived enjoyment and social norm in the adoption of technology with network externalities,17,1,"Dickinger, Astrid and Arami, Mitra and Meyer, David",2007,
0000000337,article,data/pdfs/5_3/Vetschera1996_The Evaluation O.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,The evaluation of managerial support systems in German companies,5,3,"Vetschera, R. and Walterscheid, H.",,
0000000338,article,data/pdfs/22_1/GassonWaters2013.pdf,10.1057/EJIS.2011.24,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Using a grounded theory approach to study online collaboration behaviors w,22,1,"Gasson, Susan and Waters, Jim",2011,
0000000339,article,data/pdfs/19_6/BlancoSarasaSanclemente2010.pdf,10.1057/EJIS.2010.42,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Effects of visual and textual information in online product presentations: looking for the best combination in website design,19,6,"Flavia ´n Blanco, Carlos and Sarasa, Raquel Gurrea and Oru, Carlos and Sanclemente and Flavia, Carlos and Blanco",2010,
0000000340,article,data/pdfs/16_3/Paul2007c.pdf,10.1057/PALGRAVE.EJIS.3000681,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Challenges to information systems: time to change,16,3,"Paul, Ray J",,Contents
0000000341,article,data/pdfs/9_2/GallagherWebb2000.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Paradigmatic analysis as a means of eliciting knowledge to assist multimedia methodological development,9,2,"Gallagher, S. and Webb, B.",,
0000000342,article,data/pdfs/20_5/ElieDitCosaqueStraub2011.pdf,10.1057/EJIS.2010.23,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Opening the black box of system usage: user adaptation to disruptive IT,20,5,"Elie-Dit-Cosaque, Christophe M and Straub, Detmar W",2010,
0000000343,article,data/pdfs/12_3/Ferry2003.pdf,10.1057/PALGRAVE,lfoppiano/grobid:0.8.1,European Journal of Information Systems,A computer called LEO,12,3,"Ferry, G.",,Book review
0000000344,article,data/pdfs/3_4/Chau_Selection Of Packaged Sof.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Selection of packaged software in small businesses,3,4,"Chau, P. Y C",,
0000000345,article,data/pdfs/20_1/OnitaDhaliwal2011.pdf,10.1057/EJIS.2010.52,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Alignment within the corporate IT unit: an analysis of software testing and development,20,1,"Onita, Colin and Dhaliwal, Jasbir",2010,
0000000346,article,data/pdfs/15_1/DoukidisVrechopoulosElliott2006.pdf,10.1057/PALGRAVE.EJIS.3000588,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Consumer Driven Electronic Transformation,15,1,"Doukidis, Georgios and Vrechopoulos, Adam and Elliott, Geoffrey",,Book review
0000000347,article,data/pdfs/19_4/Paul2010.pdf,10.1057/EJIS.2010.40,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Loose Change,19,4,"Paul Editor, Ray J",,Contents
0000000348,article,data/pdfs/2_1/Sambamurthy_The Design Of Info.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,The design of information technology planning systems for varying organizational contexts,2,1,"Sambamurthy, V. and Venkataraman, S. and Desanctis, G.",,
0000000349,article,data/pdfs/28_4/GraceGleasureFinneganEtAl2019.pdf,10.1080/0960085X.2019.1581440,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Enabling service co-production: a theory-building case study,28,4,"Grace, Audrey and Gleasure, Rob and Finnegan, Patrick and Butler, Tom and Agerfalk, Par",,
0000000350,article,data/pdfs/16_3/JahngJainRamamurthy2007.pdf,10.1057/PALGRAVE.EJIS.3000665,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Effects of interaction richness on consumer attitudes and behavioral intentions in e-commerce: some experimental results,16,3,"Jahng, Jungjoo and Jain, Hemant and Ramamurthy, Keshavamurthy",,
0000000351,article,data/pdfs/26_1/NiemimaaNiemimaa2017.pdf,10.1057/S41303-016-0025-Y,lfoppiano/grobid:0.8.1,European Journal of Information Systems,ETHNOGRAPHY/NARRATIVE Information systems security policy implementation in practice: from best practices to situated practices,26,1,"Niemimaa, Elina and Niemimaa, Marko",2017,
0000000352,article,data/pdfs/28_1/LukyanenkoParsonsSamuel2019.pdf,10.1080/0960085X.2018.1488567,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Representing instances: the case for reengineering conceptual modelling grammars,28,1,"Lukyanenko, Roman and Parsons, Jeffrey and Samuel, Binny M",,
0000000353,article,data/pdfs/2_3/UnknownUNKNOWNr.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,,2,3,,,Erratum
0000000354,article,data/pdfs/24_4/HuKettingerPoston2015.pdf,10.1057/EJIS.2014.22,lfoppiano/grobid:0.8.1,European Journal of Information Systems,The effect of online social value on satisfaction and continued use of social media,24,4,"Hu, Tao and Kettinger, William J and Poston, Robin S",2014,
0000000355,article,data/pdfs/17_2/BartisMitev2008.pdf,10.1057/EJIS.2008.3,lfoppiano/grobid:0.8.1,European Journal of Information Systems,A multiple narrative approach to information systems failure: a successful system that failed,17,2,"Bartis, Eszter and Mitev, Nathalie",,
0000000356,article,data/pdfs/21_3/KasiriShardaHardgrave2012.pdf,10.1057/EJIS.2011.33,lfoppiano/grobid:0.8.1,European Journal of Information Systems,A balanced scorecard for item-level RFID in the retail sector: a Delphi study,21,3,"Kasiri, Narges and Sharda, Ramesh and Hardgrave, Bill",2011,
0000000357,article,data/pdfs/15_1/Gasson2006.pdf,10.1057/PALGRAVE.EJIS.3000594,lfoppiano/grobid:0.8.1,European Journal of Information Systems,A genealogical study of boundary-spanning IS design,15,1,"Gasson, Susan",,
0000000358,article,data/pdfs/1_4/Book_review_4.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,,1,4,,,Book review
0000000359,article,data/pdfs/9_2/UnknownUNKNOWNt.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,EJIS$$121P,9,2,,,Book review
0000000360,article,data/pdfs/2_2/Kynigos_Empowering A Society O.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Empowering a society of future users of information technology: a longitudinal study of an application in early education,2,2,"Kynigos, C. and Gyftodimos, G. and Georgiadis, P.",,
0000000361,article,data/pdfs/12_1/Alexander2003.pdf,10.1057/PALGRAVE.EJIS,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Electronic Commerce: B2C Strategies and Models,12,1,"Hopkins, Brian and Eliott, S.",,Book review
0000000362,article,data/pdfs/23_4/ReimersJohnstonKlein2014.pdf,10.1057/EJIS.2013.7,lfoppiano/grobid:0.8.1,European Journal of Information Systems,An empirical evaluation of existing IS change theories for the case of IOIS evolution,23,4,"Reimers, Kai and Johnston, Robert B and Klein, Stefan",2013,
0000000363,article,data/pdfs/19_6/Koufaris2010.pdf,10.1057/EJIS.2010.41,lfoppiano/grobid:0.8.1,European Journal of Information Systems,"Commentary on Hunter's 'Same technology, different outcome?'",19,6,"Koufaris, Marios",2010,
0000000364,article,data/pdfs/9_1/FanStallaertWhinston2000.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,The adoption and design methodologies of component-based enterprise systems,9,1,"Fan, M. and Stallaert, J. and Whinston, A. B",,
0000000365,article,data/pdfs/24_6/HwangKettingerYi2015.pdf,10.1057/EJIS.2014.24,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Personal information management effectiveness of knowledge workers: conceptual development and empirical validation,24,6,"Hwang, Yujong and Kettinger, William J and Yi, Y.",2014,
0000000366,article,data/pdfs/15_3/FerneleyLight2006.pdf,10.1057/PALGRAVE.EJIS.3000620,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Secondary user relations in emerging mobile computing environments,15,3,"Ferneley, Elaine and Light, Ben",,
0000000367,article,data/pdfs/3_4/Sahay_A Relativist Approach To.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,A relativist approach to studying the social construction of information technology,3,4,"Sahay, S. and Palit, M. and Robey, D.",,
0000000368,article,data/pdfs/9_2/Lubbe2000.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,IT Investments in Developing Countries: An Assessment and Practical Guide,9,2,"Lubbe, S.",,Book review
0000000369,article,data/pdfs/8_4/Huerta1999_Evaluation Of Infor.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Evaluation of information technology: strategies in Spanish firms,8,4,"Huerta, E. and Sa ´nchez, P. J",,
0000000370,article,data/pdfs/16_4/CastroMeliaGeneroEtAl2007.pdf,10.1057/PALGRAVE.EJIS.3000690,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Towards improving the navigability of Web applications: a model-driven approach,16,4,"Castro, Cristina Cachero and ´1, Santiago Melia and Genero, Marcela and Poels, Geert and Calero, Coral",,
0000000371,article,data/pdfs/17_2/PowellWoerndl2008.pdf,10.1057/EJIS.2008.11,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Time to stop researching the important things?,17,2,"Powell, Philip and Woerndl, Maria",,
0000000372,article,data/pdfs/5_3/Willcocks1996_To Outsource It .pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,To outsource IT or not?: recent research on economics and evaluation practice,5,3,"Willcocks, L. and Fitzgerald, G. and Lacity, M.",,
0000000373,article,data/pdfs/20_1/BrooksRiemenschneiderHardgraveEtAl2011.pdf,10.1057/EJIS.2010.48,lfoppiano/grobid:0.8.1,European Journal of Information Systems,"IT professional identity: needs, perceptions, and belonging",20,1,"Brooks, Nita G and Riemenschneider, Cindy K and Hardgrave, Bill C and O'leary-Kelly, Anne M and Riemenschneider, Cynthia K and And, William R and Howard, Cacilia",2010,
0000000374,article,data/pdfs/23_3/SiponenVance2014.pdf,10.1057/EJIS.2012.59,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Guidelines for improving the contextual relevance of field surveys: the case of information security policy violations,23,3,"Siponen, Mikko and Vance, Anthony",2013,
0000000375,article,data/pdfs/1_4/Book_review_1.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Building Knowledge Based Systems: Towards a Methodology,1,4,"Lim, Wan Yee and Edwards, John S",,Book review
0000000376,article,data/pdfs/20_2/TeoSrivastavaRanganathanEtAl2011.pdf,10.1057/EJIS.2010.58,lfoppiano/grobid:0.8.1,European Journal of Information Systems,"A framework for stakeholder oriented mindfulness: case of RFID implementation at YCH Group, Singapore",20,2,"Teo, Thompson S H and Srivastava, Shirish C and Ranganathan, Chandrasekaran and Loo, James W K",2010,
0000000377,article,data/pdfs/1_2/ejis199121a.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,An investigation of the use of computers within operational research,1,2,"Cornford, T. and Doukidis, G. I",,
0000000378,article,data/pdfs/22_2/FilbeckSwinarskiZhao2013.pdf,10.1057/EJIS.2012.54,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Shareholder reaction to firm investments in the capability maturity model: an event study,22,2,"Filbeck, Greg and Swinarski, Matthew and Zhao, Xin",2013,
0000000379,article,data/pdfs/18_3/PaytonKiwanukaTondo2009.pdf,10.1057/EJIS.2009.16,lfoppiano/grobid:0.8.1,European Journal of Information Systems,"Contemplating public policy in HIV/AIDS online content, then where is the technology spirit?",18,3,"Payton, Fay Cobb and Kiwanuka-Tondo, James",2009,
0000000380,article,data/pdfs/22_3/TrierMolkaDanielsen2013.pdf,10.1057/EJIS.2012.27,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Sympathy or strategy: social capital drivers for collaborative contributions to the IS community,22,3,"Trier, Matthias and Molka-Danielsen, Judith",2012,
0000000381,article,data/pdfs/22_5/MorganFellerFinnegan2013.pdf,10.1057/EJIS.2012.44,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Exploring value networks: theorising the creation and capture of value with open source software,22,5,"Morgan, Lorraine and Feller, Joseph and Finnegan, Patrick",2012,
0000000382,article,data/pdfs/24_6/HansethBygstad2015.pdf,10.1057/EJIS.2015.1,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Flexible generification: ICT standardization strategies and service innovation in health care,24,6,"Hanseth, Ole and Bygstad, Bendik",2015,
0000000383,article,data/pdfs/26_2/RameshCaoKimEtAl2017.pdf,10.1057/S41303-016-0023-0,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Conflicts and complements between eastern cultures and agile methods: an empirical investigation,26,2,"Ramesh, Balasubramaniam and Cao, Lan and Kim, Jongwoo and Mohan, Kannan and James, Tabitha L",2017,
0000000384,article,data/pdfs/25_3/KimYimSugumaranEtAl2016.pdf,10.1057/EJIS.2015.16,lfoppiano/grobid:0.8.1,European Journal of Information Systems,"Web assurance seal services, trust and consumers' concerns: an investigation of e-commerce transaction intentions across two nations",25,3,"Kim, Dan J and Yim, Myung-Seong and Sugumaran, Vijayan and Raghav Rao, H.",2015,
0000000385,article,data/pdfs/16_4/LycettMarcosStorey2007.pdf,10.1057/PALGRAVE.EJIS.3000684,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Model-driven systems development: an introduction,16,4,"Lycett, Mark and Marcos, Esperanza and Storey, Veda",,
0000000386,article,data/pdfs/15_2/BorjessonMartinssonTimmeras2006.pdf,10.1057/PALGRAVE.EJIS.3000603,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Agile improvement practices in software organizations,15,2,"¨rjesson, Anna Bo and Martinsson, Fredrik and Timmera, Magnus and Bo, Anna",,
0000000387,article,data/pdfs/21_6/NjengaBrown2012.pdf,10.1057/EJIS.2012.3,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Conceptualising improvisation in information systems security,21,6,"Njenga, Kennedy and Brown, Irwin",2012,
0000000388,article,data/pdfs/30_1/PrommeggerBennettThatcherWiescheEtAl2021.pdf,10.1080/0960085X.2020.1841573,lfoppiano/grobid:0.8.1,European Journal of Information Systems,When your data has COVID-19: how the changing context disrupts data collection and what to do about it,30,1,"Prommegger, Barbara and Thatcher, Jason Bennett and Wiesche, Manuel and Krcmar, Helmut and Ågerfalk, Pär and Conboy, Kieran and Myers, Michael",,
0000000389,article,data/pdfs/11_1/Hollocks2002.pdf,10.1057/PALGRAVE/EJIS/3000404,lfoppiano/grobid:0.8.1,European Journal of Information Systems,,11,1,"Trauth, E. M",,Book review
0000000390,article,data/pdfs/19_1/BerenteGalYoo2010.pdf,10.1057/EJIS.2009.47,lfoppiano/grobid:0.8.1,European Journal of Information Systems,"Dressage, control, and enterprise systems: the case of NASA's Full Cost initiative",19,1,"Berente, Nicholas and Gal, Uri and Yoo, Youngjin",2010,
0000000391,article,data/pdfs/25_6/Teeni2016.pdf,10.1057/S41303-016-0028-8,lfoppiano/grobid:0.8.1,European Journal of Information Systems,"Contextualization and problematization, gamification and affordance: a traveler's reflections on EJIS",25,6,"Te'eni, Dov",,
0000000392,article,data/pdfs/16_5/HatzakisLycettSerrano2007.pdf,10.1057/PALGRAVE.EJIS.3000707,lfoppiano/grobid:0.8.1,European Journal of Information Systems,A programme management approach for ensuring curriculum coherence in IS (higher) education,16,5,"Hatzakis, Tally and Lycett, Mark and Serrano, Alan Edwin",,
0000000393,article,data/pdfs/28_6/BeraPoels2019.pdf,10.1080/0960085X.2019.1673972,lfoppiano/grobid:0.8.1,European Journal of Information Systems,How quickly do we learn conceptual models?,28,6,"Bera, Palash and Poels, Geert and Agerfalk, Par and Karlsson, Fredrik",,
0000000394,article,data/pdfs/20_1/BaskervilleLyytinenSambamurthyEtAl2011.pdf,10.1057/EJIS.2010.56,lfoppiano/grobid:0.8.1,European Journal of Information Systems,A response to the design-oriented information systems research memorandum,20,1,"Baskerville, Richard and Lyytinen, Kalle and Sambamurthy, Vallabh and Straub, Detmar and Robinson, J. Mack",2010,
0000000395,article,data/pdfs/6_2/3000259a.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,The moderating effect of organizational commitment on burnout in information systems professionals,6,2,"King, R. C and Sethi, V.",,
0000000396,article,data/pdfs/27_3/ChiassonDavidsonWinter2018.pdf,10.1080/0960085X.2018.1435232,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Philosophical foundations for informing the future(S) through IS research,27,3,"Chiasson, Mike and Davidson, Elizabeth and Winter, Jenifer",,
0000000397,article,data/pdfs/17_2/Carugati2008a.pdf,10.1057/EJIS.2008.5,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Information system development activities and inquiring systems: an integrating framework,17,2,"Carugati, Andrea",,
0000000398,article,data/pdfs/9_4/JohnstonGregor2000.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,A theory of industry-level activity for understanding the adoption of interorganizational systems,9,4,"Johnston, R. B and Gregor, S.",,
0000000399,article,data/pdfs/31_1/Merchants adoption of mobile payment in emerging economies the case of unorganised retailers in India.pdf,10.1080/0960085X.2021.1978338,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Merchants' adoption of mobile payment in emerging economies: the case of unorganised retailers in India,31,1,"Mishra, Vishal and Walsh, Isabelle and Srivastava, Ankur and Brown, Irwin and Osei-Bryson, Kweku-Muata and Meso, Peter",,
0000000400,article,data/pdfs/23_2/CarterWrightThatcherEtAl2014.pdf,10.1057/EJIS.2012.55,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Understanding online customers' ties to merchants: the moderating influence of trust on the relationship between switching costs and e-loyalty,23,2,"Carter, Michelle and Wright, Ryan and Thatcher, Jason Bennett and Klein, Richard",2012,
0000000401,article,data/pdfs/7_2/Choe1998_The Relationship Mode.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,The relationship model between the influence factors and the strategic applications of information systems,7,2,"Choe, J-M and Lee, Y-H and Park, K-C",,
0000000402,article,data/pdfs/24_2/Busquets2015a.pdf,10.1057/EJIS.2014.38,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Discovery paths: exploring emergence and IT evolutionary design in cross-border M&As. Analysing grupo Santander's acquisition of abbey (2004-2009),24,2,"Busquets, Javier",2015,
0000000403,article,data/pdfs/15_2/MathiassenPriesHeje2006.pdf,10.1057/PALGRAVE.EJIS.3000610,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Business agility and diffusion of information technology,15,2,"Mathiassen, Lars and Pries-Heje, Jan",,
0000000404,article,data/pdfs/18_2/ZhangLuoAkkaladeviEtAl2009.pdf,10.1057/EJIS.2009.9,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Improving multiple-password recall: an empirical study,18,2,"Zhang, Jie and Luo, Xin and Akkaladevi, Somasheker and Ziegelmayer, Jennifer",2009,
0000000405,article,data/pdfs/31_2/The online community knowledge flows distance and direction.pdf,10.1080/0960085X.2020.1866442,lfoppiano/grobid:0.8.1,European Journal of Information Systems,The online community knowledge flows: distance and direction,31,2,"Mozaffar, Hajar and Panteli, Niki and Myers, Michael",,
0000000406,article,data/pdfs/2_1/UnknownUNKNOWNu.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,,2,1,,,
0000000407,article,data/pdfs/2_2/Ioannidis_A Temporal Framework.pdf,,lfoppiano/grobid:0.8.1,European Journal of Information Systems,A temporal framework for managing retroactive and delayed updates: an application to the payroll information system of the Greek public sector,2,2,"Ioannidis, E. V and Kokkotos, S. and Spyropoulos, C. D",,
0000000408,article,data/pdfs/19_3/KartsevaHulstijnGordijnEtAl2010.pdf,10.1057/EJIS.2010.13,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Control patterns in a health-care network,19,3,"Kartseva, Vera and Hulstijn, Joris and Gordijn, Jaap and Tan, Yao-Hua and Al",2010,
0000000409,article,data/pdfs/27_5/TemplierPare2018.pdf,10.1080/0960085X.2017.1398880,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Transparency in literature reviews: an assessment of reporting practices across review types and genres in top IS journals,27,5,"Templier, Mathieu and Paré, Guy",,
0000000410,article,data/pdfs/26_2/ChoRyooKim2017.pdf,10.1057/S41303-017-0038-1,lfoppiano/grobid:0.8.1,European Journal of Information Systems,"Interorganizational dependence, information transparency in interorganizational information systems, and supply chain performance",26,2,"Cho, Bangho and Ryoo, Sung Yul and Kim, Kyung Kyu",2017,
0000000411,article,data/pdfs/13_4/HackbarthKettinger2004.pdf,10.1057/PALGRAVE.EJIS.3000511,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Strategic aspirations for net-enabled business,13,4,"Hackbarth, Gary and Kettinger, William J",,
0000000412,article,data/pdfs/15_6/Oates2006.pdf,10.1057/PALGRAVE.EJIS.3000649,lfoppiano/grobid:0.8.1,European Journal of Information Systems,New frontiers for information systems research: computer art as an information system,15,6,"Oates, Briony J",,
0000000413,article,data/pdfs/14_3/Themistocleous2005.pdf,10.1057/PALGRAVE.EJIS.3000543,lfoppiano/grobid:0.8.1,European Journal of Information Systems,,14,3,"Themistocleous, Marinos",,
0000000414,article,data/pdfs/14_3/NewmanWestrup2005.pdf,10.1057/PALGRAVE.EJIS.3000539,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Making ERPs work: accountants and the introduction of ERP systems,14,3,"Newman, Mike and Westrup, Chris",,
0000000415,article,data/pdfs/17_6/ChoMathiassenNilsson2008.pdf,10.1057/EJIS200849,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Contextual dynamics during health information systems implementation: an event-based actor-network approach,17,6,"Cho, Sunyoung and Mathiassen, Lars and Nilsson, Agneta",,
0000000416,article,data/pdfs/21_1/ChinJunglasRoldan2012.pdf,10.1057/EJIS.2011.46,lfoppiano/grobid:0.8.1,European Journal of Information Systems,Some considerations for articles introducing new and/or novel quantitative methods to IS researchers,21,1,"Chin, Wynne W and Junglas, Iris and Rolda, Jose ´l",2011,
