ID,orig_ID,orig_source,language,abstract,pages,number,volume,year,title,journal,author,doi,ENTRYTYPE,fulltext,cited_by,url,dblp_key,grobid-version,file,note
C_000636,000636,crossref,eng,,6--32,4,1,1986,Science of Information,Journal of Information Technology,"Mamdani, E H",10.1057/JIT.1986.34,article,,0,,,,,
C_000637,000637,crossref,eng,"We must look ahead at today's radical changes in technology, not just as forecasters but as actors charged with designing and bringing about a sustainable and acceptable world. New knowledge gives us power for change: for good or ill, for knowledge is neutral. The problems we face go well beyond technology: problems of living in harmony with nature, and most important, living in harmony with each other. Information technology, so closely tied to the properties of the human mind, can give us, if we ask the right questions, the special insights we need to advance these goals. Herbert A. Simon (2000)",96--99,2,27,2012,The Future of the Information Systems Discipline: A Response to Walsham,Journal of Information Technology,"March, Salvatore T. and Niederman, Fred",10.1057/JIT.2012.10,article,,6,,,,,
C_000638,000638,crossref,eng,,17--24,1,3,1988,Transborder Data Flows and Law: Questions Not Answers,Journal of Information Technology,"Marett, Paul",10.1057/JIT.1988.4,article,,0,,,,,
C_000639,000639,crossref,eng,,197--198,3,8,1993,Computerization and Controversy: Value Conflicts and Social Choices,Journal of Information Technology,"Margetts, Helen",10.1057/JIT.1993.28,article,,0,,,,,
C_000640,000640,crossref,,,149--164,2,15,2000,Executives' use of information technology: comparison of electronic mail and an accounting information system,Journal of Information Technology,"Marginson, David and King, Malcolm and Mcaulay, Laurie",10.1080/026839600344339,article,,6,,,,,
C_000641,000641,crossref,eng,"This paper responds to the findings of the research by Currie and Guah on the introduction of the National Programme for Information Technology through an institutional theory perspective. It considers both the appropriateness and applicability of the method chosen in the light of what is already known about UK healthcare organisations and the complex and changing process that is involved in both the organisation and any research that takes place. This is further confounded by an unstable political environment both nationally and locally and a failure to understand the changing location, role and status of the medical record. Only when this is resolved will a transformational change occur, in line with the new patient-focused government agenda and the external world of technology that must engage with the emotional as well as the rational role that both technology and health play in people's lives.",248--256,3,22,2007,Modernising Healthcare – is the NPfIT for Purpose?,Journal of Information Technology,"Mark, Annabelle L",10.1057/PALGRAVE.JIT.2000100,article,,13,,,,,
C_000642,000642,crossref,eng,"Using IT in ways that can trigger major organizational changes creates high-risk, potentially high-reward, situations that I call technochange (for technology-driven organizational change). Technochange differs from typical IT projects and from typical organizational change programs and therefore requires a different approach. One major risk in technochange—that people will not use information technology and related work practices—is not thoroughly addressed by the discipline of IT project management, which focuses on project cost, project schedule, and solution functionality. Organizational change management approaches are also generally not effective on their own, because they take as a given the IT “solutions” developed by a technical team. Consequently, the potential for the IT “solution” to be misaligned with important organizational characteristics, such as culture or incentives, is great. Merely combining IT project management and organizational change management approaches does not produce the best results, for two reasons. First, the additive approach does not effectively address the many failure-threatening problems that can arise over the lengthy sequential process of the typical technochange lifecycle. Second, the additive approach is not structured to produce the characteristics of a good technochange solution: a complete intervention consisting of IT and complementary organizational changes, an implementable solution with minimal misfits with the existing organization, and an organization primed to appropriate the potential benefits of the technochange solution. With hard work and care, the combined IT project management plus organizational change approach can be made to work. However, an iterative, incremental approach to implementing technochange can be a better strategy in many situations. The essential characteristic of the technochange prototyping approach is that each phase involves both new IT functionality and related organizational changes, such as redesigned business processes, new performance metrics, and training.",4--20,1,19,2004,Technochange Management: Using IT to Drive Organizational Change,Journal of Information Technology,"Markus, M Lynne",10.1057/PALGRAVE.JIT.2000002,article,,264,,,,,
C_000643,000643,crossref,eng,,341--345,4,29,2014,"Maybe Not the King, but An Invaluable Subordinate: A Commentary on Avison and Malaurent's Advocacy of ‘Theory Light’ is Research",Journal of Information Technology,"Markus, M Lynne",10.1057/JIT.2014.19,article,,18,,,,,
C_000644,000644,crossref,eng,,90--90,1,30,2015,"Maybe not the King, but an Invaluable Subordinate: A Commentary on Avison and Malaurent's Advocacy of ‘Theory Light’ is Research",Journal of Information Technology,"Markus, M Lynne",10.1057/JIT.2015.4,article,,0,,,,,
C_000645,000645,crossref,eng,,58--59,1,30,2015,"New Games, New Rules, New Scoreboards: The Potential Consequences of Big Data",Journal of Information Technology,"Markus, M Lynne",10.1057/JIT.2014.28,article,,47,,,,,
C_000646,000646,crossref,,,245--265,4,15,2000,Learning from adopters' experiences with ERP: problems encountered and success achieved,Journal of Information Technology,"Markus, M Lynne and Axline, Sheryl and Petrie, David and Tanis, Cornelis",10.1080/02683960010008944,article,,225,,,,,
C_000647,000647,crossref,eng,,230--238,4,4,1989,Internal Auditors and the Prevention and Detection of Computer Fraud,Journal of Information Technology,"Marston, Claire and Dixon, Rob and Collier, Paul",10.1057/JIT.1989.37,article,,1,,,,,
C_000648,000648,crossref,eng,"The development of high quality technical systems is an ongoing important element of information systems success. This paper investigates the current practice of information technology project configuration from a management viewpoint. It is based on a series of semi-structured interviews across a range of medium to large organizations in the UK, including both users and providers of IT services. It finds that project requirements, strategic IT policies, risk management, pragmatic considerations, the managed exploitation of experience and the managed adoption of new technologies drive individual project configuration. The paper proposes a new integrated model that explicitly identifies the drivers of project configuration management. It illustrates the model using a published case study and generates directions for further research and implications for practitioners.",1--15,1,18,2003,What Drives the Configuration of Information Technology Projects? Exploratory Research in 10 Organizations,Journal of Information Technology,"Martin, Andrew",10.1080/0268396031000077413,article,http://journals.sagepub.com/doi/pdf/10.1080/0268396031000077413,9,,,,,
C_000649,000649,crossref,eng,,267--268,3,31,2016,"People, Places and Time in Research Design and Reporting: Responding to Commentaries on Particularism",Journal of Information Technology,"Martinsons, Maris G. and Davison, Robert M.",10.1057/S41265-016-0006-6,article,,4,,,,,
C_000650,000650,crossref,eng,,159--163,3,4,1989,An Empirical Analysis of Spreadsheet Usage: A solution storing up problems?,Journal of Information Technology,"Mason, David",10.1057/JIT.1989.20,article,,3,,,,,
C_000651,000651,crossref,eng,"Large software organizations establish software technology units for managing the methods and tools aimed at supporting their software engineers. This division between software development and new technologies for software development establishes specialized competencies, supports standardization across software projects and departments and provides dedicated resources for innovation. However, such software technology units are faced with complex diffusion projects that are difficult and challenging to manage and that in many cases lead to unsatisfactory results. This paper reports from attempts to improve diffusion practices within a technology unit in a large software organization. Two complementary roles for software technology units, i.e. technology supplier and service provider, are presented and used for interpreting the experiences. The research suggests that technology units in large software organizations can improve their diffusion practices by complementing the traditional role as a technology supplier with that of a service provider. The paper offers lessons on how software organizations can take steps in that direction.",195--209,3,18,2003,Service Provision in a Software Technology Unit,Journal of Information Technology,"Mathiassen, Lars and Andersson, Ingegerd and Hanson, Kerstin",10.1080/0268396032000122150,article,http://journals.sagepub.com/doi/pdf/10.1080/0268396032000122150,2,,,,,
C_000652,000652,crossref,eng,"The use of information technology (IT) in organizations has undergone dramatic changes during the past 30 years. As a result, it has become increasingly common to adopt services rather than traditional systems perspective to more accurately capture contemporary practices. There is, however, a lack of theories that can help us understand, assess, and design information services in organizational contexts. On this backdrop, we combine general notions of information processing options and requirements to outline a contingency theory of organizational use of information services. The theory suggests that information services are configurations of heterogeneous information processing capabilities; these services are evoked by organizational actors to help execute tasks, and evoking different configurations may lead to equally satisfactory outcomes. The theory distinguishes between four types of services computational, adaptive, networking, and collaborative services, and it suggests that organizational actors need portfolios of information services that are suited to the equivocality and uncertainty profile of the information processing they face. The paper defines four types of services and how they relate to information processing requirements; it applies the theory to a study of information services in response to vehicle policing; and it outlines how the theory relates to standardization and unintended consequences of information services. We conclude by discussing the theory and its implications for research and practice.",313--329,4,23,2008,Towards a Theory of Organizational Information Services,Journal of Information Technology,"Mathiassen, Lars and Soreness, Carsten",10.1057/JIT.2008.10,article,,38,,,,,
C_000653,000653,crossref,eng,"This study used an earlier critique of the cultural sciences for exploring the ideological basis for the evaluation of outsourcing. Questionnaire and interview responses are presented. These incorporate a range of evaluative criteria, which together represent an indicative list of the benefits and risks of outsourcing. The paper initially suggests that different stakeholders might be impacted on in different ways by benefits and risks. It is suggested that information technology outsourcing evaluation might thus be partial and not neutral in its impact on stakeholders. However, the differences and similarities between stakeholders suggest a subtle interplay of ideological concerns that does not totally deny the interests of all but the dominant stakeholders. Although the evaluation may be partial this does not deny the potential for those who might be presumed to be disadvantaged for making personal gains. However, in making personal gains, an ideology based on economic interests is furthered, thus occluding the opportunity for autonomous and responsible engagement with the process of evaluation.",241--255,4,17,2002,The Stakeholder Dimension in Information Systems Evaluation,Journal of Information Technology,"Mcaulay, Laurie and Doherty, Neil and Keval, Natasha",10.1080/0268396022000017734,article,http://journals.sagepub.com/doi/pdf/10.1080/0268396022000017734,23,,,,,
C_000654,000654,crossref,eng,,73--83,2,9,1994,"The State-of-the-art of CSCW: CSCW Systems, cooperative work and organization",Journal of Information Technology,"McCarthy, John",10.1057/JIT.1994.9,article,,10,,,,,
C_000655,000655,crossref,eng,,124--134,3,2,1987,The Role of Formal Methods in Software Development,Journal of Information Technology,"McDermid, John",10.1057/JIT.1987.25,article,,1,,,,,
C_000656,000656,crossref,eng,"This paper arose from concerns regarding the current conceptualizations of ‘design’ in the emerging literature on design science (DS) in information systems (IS). In this paper, we argue that current conceptualizations of design in IS are overly narrow, which necessarily limits what is viewed as acceptable DS research. In response we advance a more encompassing view of design. The revised view extends the current perspectives of design in the IS literature to embrace broader conceptualizations of design, which are evident in many intellectual communities outside IS where design is viewed as a critical component of both research and practice - such as management, engineering, architecture and others. In addition to the fairly common conceptualizations of design as product and design as process or action, design is also conceived as: intention; planning - including modeling and representation; communication; user experience; value; professional practice; and as service. Further, whereas the current conceptualization of design in IS views IS design knowledge as split across two paradigms, namely DS and behavioral science, in this paper we argue for a broader and more integrated view of design: one that emphasizes both the construction-centered and human-centered aspects of design in IS. Building from our broader view, we discuss some of the implications for design-oriented research in IS, and consider ways in which this human- centered perspective might impact on the context and content of design research in IS.",125--139,2,27,2012,The Design Construct in Information Systems Design Science,Journal of Information Technology,"McKay, Judy and Marshall, Peter and Hirschheim, Rudy",10.1057/JIT.2012.5,article,,22,,,,,
C_000657,000657,crossref,eng,,26--36,1,10,1995,Predicting bankruptcy via induction,Journal of Information Technology,"McKee, Thomas E",10.1057/JIT.1995.4,article,,7,,,,,
C_000658,000658,crossref,eng,,299--321,4,10,1995,Financial and strategic motivations behind IS outsourcing,Journal of Information Technology,"McLellan, Kerry and Marcolin, Barbara L and Beamish, Paul W",10.1057/JIT.1995.32,article,,54,,,,,
C_000659,000659,crossref,eng,,50--51,1,1,1986,Communication and Information Technology,Journal of Information Technology,"Meadows, A J",10.1057/JIT.1986.12,article,,0,,,,,
C_000660,000660,crossref,eng,,119--119,2,3,1988,"Computer Strategies, 1990-9: Technologies – Costs – Markets",Journal of Information Technology,"Meadows, Jack",10.1057/JIT.1988.21,article,,0,,,,,
C_000661,000661,crossref,eng,,119--120,2,3,1988,Information Analysis: Selected Readings,Journal of Information Technology,"Meadows, Jack",10.1057/JIT.1988.22,article,,0,,,,,
C_000662,000662,crossref,eng,"Knowledge is being discussed as one of the most important organizational resources. But these resources exist in specialized pockets dispersed across the organization, and dedicated knowledge management (KM) programs are required to improve their flow. However, high failure rates of such programs raise serious doubts about their ability to improve knowledge flows. This case traces the KM program of Infosys Technologies, Ltd – a Global Most Admired Knowledge Enterprise. The case describes how, in 1999, Infosys’ top management detected a severe lack of organizational knowledge flows while implementing a program aimed at continuously improving their core business processes. A more detailed examination exposed that the lack of knowledge flows stifled the effectiveness of their organizational structure and their business model. Alarmed by these critical findings, Infosys initiated their KM program. A five-stage knowledge maturity model (KMM) was conceptualized to aid KM implementation. With people, processes, and technology as the three pillars of Infosys’ KM program, KMM identified specific capabilities Infosys needed to develop in each of the five levels. Things worked fine till 2004 when Infosys began moving towards KMM Level 4, which required developing clear metrics to measure KM effectiveness, that is, improvements in knowledge flow. In the absence of such metrics, Infosys’ Board of Directors started questioning company's financial investment in the KM program. The CEO, who championed the KM program, knew that he faced two key challenges – to convince the Board of future revenue prospects of the KM program, and to identify metrics for assessing improvements in organizational knowledge flows.",456--464,4,22,2007,Infosys Technologies: Improving Organizational Knowledge Flows,Journal of Information Technology,"Mehta, Nikhil and Oswald, Sharon and Mehta, Anju",10.1057/PALGRAVE.JIT.2000115,article,,24,,,,,
C_000663,000663,crossref,eng,,184--191,3-4,6,1991,The evolution of interorganizational systems,Journal of Information Technology,"Meier, Johannes and Sprague, Ralph H",10.1057/JIT.1991.32,article,,10,,,,,
C_000664,000664,crossref,eng,,139--150,3,8,1993,Coordination of joint tasks in organizational processes,Journal of Information Technology,"Mentzas, Gregory N",10.1057/JIT.1993.20,article,,16,,,,,
C_000665,000665,crossref,eng,"This paper is concerned with the emergence of the information systems (IS) domain as a central feature of the management research landscape in the networked world. It shows that emergence of the network economy and network society necessitates a paradigm shift in the IS discipline, and that complexity science offers the apposite concepts and tools for effecting such a shift. To avoid confusion of fundamental complexity science concepts with the more colloquial uses of complexity terminology, the paper provides an introduction to concepts from complexity science for those in the IS field who are unacquainted with complexity theory. It then proceeds to explore the utility of these concepts for developing IS theory and practice for the emergent networked world.",216--228,4,21,2006,Complexity and Information Systems: The Emergent Domain,Journal of Information Technology,"Merali, Yasmin",10.1057/PALGRAVE.JIT.2000081,article,,50,,,,,
C_000666,000666,crossref,eng,,211--215,4,21,2006,Using Complexity Science to effect a paradigm shift in Information Systems for the 21st century,Journal of Information Technology,"Merali, Yasmin and McKelvey, Bill",10.1057/PALGRAVE.JIT.2000082,article,,45,,,,,
C_000667,000667,crossref,,,375--386,4,14,1999,Loyalty of on-line bank customers,Journal of Information Technology,"Methlie, Leif B and Nysveen, Herbjørn",10.1080/026839699344485,article,,40,,,,,
C_000668,000668,crossref,eng,"In recent years, social technology has changed the ways people collaborate and communicate. With the blurring boundaries between work and personal life, business software vendors have begun to deliberate on the possibilities for enhancing the rather rigid and impersonal structures in enterprise systems (ES) by integrating social features. In doing so, they frequently assume that business users share the same interaction patterns as private users. In this paper, we challenge this belief and explore the factors that stimulate business users to share information in ES environments. By means of a design experiment, we show different use scenarios and explore business users' attitudes toward open and unconditional information sharing in ES. Our results demonstrate that business users are less ‘social’ and that applying social features in ES is highly context dependent. Based on these findings, we offer recommendations for software vendors and researchers who are interested in the social enhancements of ES.",101--114,2,31,2016,Are business users social? A design experiment exploring information sharing in enterprise social systems,Journal of Information Technology,"Mettler, Tobias and Winter, Robert",10.1057/JIT.2015.28,article,,25,,,,,
C_000669,000669,crossref,,,223--237,3,12,1997,The IT outsourcing market-place: vendors and their selection,Journal of Information Technology,"Michell, Vaughan and Deitel, Paul",10.1080/026839697345080,article,,49,,,,,
C_000670,000670,crossref,eng,,160--166,3,8,1993,Computer language: impact on information systems development,Journal of Information Technology,"Middleton, Peter",10.1057/JIT.1993.22,article,,0,,,,,
C_000671,000671,crossref,eng,,196--196,3,8,1993,Japan's software factories: a challenge to US management,Journal of Information Technology,"Middleton, Peter",10.1057/JIT.1993.27,article,,0,,,,,
C_000672,000672,crossref,eng,,247--248,3,9,1994,Software Inspection,Journal of Information Technology,"Middleton, Peter J",10.1057/JIT.1994.26,article,,0,,,,,
C_000673,000673,crossref,eng,"This paper explores user and provider experiences with broadband networks. Drawing on data from an early broadband trial and from recent studies of consumer broadband usage, the validity of the commonly held view that widespread adoption of broadband is dependent upon the development of a killer application is challenged. It is argued that access to broadband can be valuable for users without the provision of a killer application and that the dynamics of broadband development are shifting. As more users become content creators and distributors and as it becomes easier for consumers to establish broadband networks without help from traditional providers, the existing relationships within the broadband industry will change. Broadband researchers and stakeholders in the development of broadband networks are encouraged to explore and understand the implications of these changes, recognizing that there is much to be learned about deploying broadband in ways that will create the broad societal benefits promised by its promoters.",231--245,4,18,2003,What if there is No Killer Application? An Exploration of a User-Centric Perspective on Broadband,Journal of Information Technology,"Middleton, Catherine A.",10.1080/0268396032000150825,article,http://journals.sagepub.com/doi/pdf/10.1080/0268396032000150825,5,,,,,
C_000674,000674,crossref,eng,"In recent years, a number of studies have adopted institutional theory as a perspective for examining Information Systems (IS)/Information Technology (IT)-related phenomena such as IT innovation, IS development and implementation, and IT adoption and use. The objective of this paper is to take stock of how institutional theory is being used in IS research. To this end, it first proposes a conceptual framework to encapsulate the main concepts of institutional theory. Second, it synthesizes the findings of 53 articles that adopted an institutional perspective to study IS/IT phenomena. Finally, it identifies conceptual and methodological issues that researchers need to address when adopting an institutional perspective.",369--391,4,24,2009,Positioning the Institutional Perspective in Information Systems Research,Journal of Information Technology,"Mignerat, Muriel and Rivard, Suzanne",10.1057/JIT.2009.13,article,,170,,,,,
C_000675,000675,crossref,eng,,86--93,2,6,1991,Current use of software tools in the development of medical and health services computer applications — a Survey,Journal of Information Technology,"Millington, Donald and Tulloch, Iain M and Gray, Edwin M",10.1057/JIT.1991.14,article,,1,,,,,
C_000676,000676,crossref,eng,,58--66,2,2,1987,Is Computing an Experimental Science?,Journal of Information Technology,"Milner, Robin",10.1057/JIT.1987.12,article,,1,,,,,
C_000677,000677,crossref,eng,"This paper presents a personal overview of the history of the IS discipline over the last 20 years. It highlights two particular strands of development over which there has been much controversy - the so-called paradigm wars which were an epistemological battle between positivism and interpretivism; and the related debate over a critical approach to information systems. It is argued that the battle has died down and a period of stability has emerged. But further development needs to occur, especially in the area of critical management, and the philosophy of critical realism can be a significant way forward.",165--171,3,19,2004,Paradigm Wars: Ceasefire Announced who Will set up the New Administration?,Journal of Information Technology,"Mingers, J",10.1057/PALGRAVE.JIT.2000021,article,,28,,,,,
C_000678,000678,crossref,eng,"Information systems are a strong and ever-growing discipline of enormous relevance to today's informated world, and yet, as recent reviews have shown, there is still not an agreed and explicit conceptualization or definition of information. After an evaluative review of a range of theories of information, this paper develops and defends a particular theory, one that sees information as both objective and veridical. By objective, we mean that the information carried by signs and messages exists independently of its receivers or observers. The information carried by a sign exists even if the sign is not actually observed. By veridical, we mean that information must be true or correct in order to be information – information is truth-constituted. False information is not information, but misinformation or disinformation. The paper develops this theory and then discusses four contentious issues – information as objective rather than subjective; information as true or correct; information and knowledge; and information and the ambiguity of meaning. It concludes with a discussion of the practical implications of the theory.",85--104,2,33,2018,What is Information? Toward a Theory of Information as Objective and Veridical,Journal of Information Technology,"Mingers, John and Standing, Craig",10.1057/S41265-017-0038-6,article,,26,,,,,
C_000679,000679,crossref,eng,"Research on the governance of IS outsourcing has recognized two moments of governance: the formal outsourcing contract (promissory contract) and post-contractual relationship management (psychological contract). While this research has been prescriptive of contract terms that lead to successful outsourcing, there is need for clarity on what specific governance options are available at each moment of governance and how governance choices at one moment affect those at another, and consequently affect outsourcing outcomes. This paper draws on theoretical and empirical work in the areas of governance and contracts to develop a model of IS outsourcing governance, delineating specific moments of governance (MoG). It describes how the IS outsourcing context circumscribes market, hierarchy, and network governance options that are available at the promissory contract and psychological contract moments. Processes and structures that constitute governance choices at each moment of governance are identified. This analysis of outcomes recognizes an inherent tension in interorganizational relationships: firms’ desire for value capture or efficiency vs their desire for value creation or innovation. We explore how choices in formulating the promissory contract affect the psychological contract, and how psychological contract choices impact value capture and creation. The paper concludes by exploring the implications of the MoG model for practitioners and suggesting areas in which further conceptualization and empirical work may be beneficial.",152--169,3,20,2005,Moments of Governance in is Outsourcing: Conceptualizing Effects of Contracts on Value Capture and Creation,Journal of Information Technology,"Miranda, Shaila M and Kavan, C Bruce",10.1057/PALGRAVE.JIT.2000045,article,,73,,,,,
C_000680,000680,crossref,eng,,242--243,4,4,1989,"Information Storage and Retrieval Systems: Origin, Development and Applications",Journal of Information Technology,"Mitev, Nathalie N",10.1057/JIT.1989.39,article,,0,,,,,
C_000681,000681,crossref,eng,,173--184,3,9,1994,The business failure of knowledge-based systems: linking knowledge-based systems and information systems methodologies for strategic planning,Journal of Information Technology,"Mitev, Nathalie N",10.1057/JIT.1994.18,article,,2,,,,,
C_000682,000682,crossref,eng,,271--273,4,26,2011,"Beyond Health Warnings: Risk, Regulation, Failure and the Paradoxes of Risk Management",Journal of Information Technology,"Mitev, Nathalie",10.1057/JIT.2011.15,article,,2,,,,,
C_000683,000683,crossref,eng,"Historical perspectives are only timidly entering the world of IS research compared to historical research in management or organisation studies. If major IS outlets have already published history-oriented papers, the number of historical papers - although increasing - remains low. We carried out a thematic analysis of all papers on History and IS published between 1972 and 2009 indexed on ABI and papers indexed in Google Scholar ™ for the same period. We used a typology developed by theorists Üsdiken and Kieser, who classify historical organisation research into supplementarist, integrationist and reorientationist approaches. We outline their links with the epistemological stances well known in IS research, positivism, interpretivism and critical research; we then focus on their differences and historiographical characteristics. We found that most IS History papers are supplementarist descriptive case studies with limited uses of History. This paper then suggests that IS research could benefit from adopting integrationist and reorientationist historical perspectives and we offer some examples to illustrate how that would contribute to enriching, extending and challenging existing theories.",110--124,2,27,2012,Seizing the Opportunity: Towards a Historiography of Information Systems,Journal of Information Technology,"Mitev, Nathalie and De Vaujany, François-Xavier",10.1057/JIT.2012.1,article,,16,,,,,
C_000684,000684,crossref,eng,,231--232,3-4,6,1991,Computer representation of management policy,Journal of Information Technology,"Moffett, Jonathan",10.1057/JIT.1991.39,article,,0,,,,,
C_000685,000685,crossref,,,223--234,3,11,1996,Using the Internet for knowledge acquisition in expert systems development: a case study,Journal of Information Technology,"Molnar, Kathleen K and Sharda, Ramesh",10.1080/026839696345270,article,,2,,,,,
C_000686,000686,crossref,eng,,30--32,2,1,1986,Information Technology Education in Industry,Journal of Information Technology,"Molyneux, Eric",10.1057/JIT.1986.20,article,,,https://link.springer.com/article/10.1057/jit.1986.20,,,,
C_000687,000687,crossref,eng,,164--170,4,2,1987,Characteristics of IT Innovation,Journal of Information Technology,"Monk, Peter",10.1057/JIT.1987.31,article,,,https://link.springer.com/article/10.1057/jit.1987.31,,,,
C_000688,000688,crossref,eng,,14--21,1,8,1993,The economic significance of infrastructural IT systems,Journal of Information Technology,"Monk, Peter",10.1057/JIT.1993.3,article,,,https://link.springer.com/article/10.1057/jit.1993.3,,,,
C_000689,000689,crossref,eng,,49--54,1,4,1989,Managing Data in a Complex Systems Environment,Journal of Information Technology,"Moreton, R",10.1057/JIT.1989.6,article,,,https://link.springer.com/article/10.1057/jit.1989.6,,,,
C_000690,000690,crossref,eng,,100--104,2,5,1990,A process model for software maintenance,Journal of Information Technology,"Moreton, Robert",10.1057/JIT.1990.19,article,,,https://link.springer.com/article/10.1057/jit.1990.19,,,,
C_000691,000691,crossref,eng,,95--99,2,7,1992,Re-engineering tools have the potential to overcome systems maintenance bottleneck,Journal of Information Technology,"Moreton, Robert",10.1057/JIT.1992.14,article,,,https://link.springer.com/article/10.1057/jit.1992.14,,,,
C_000692,000692,crossref,eng,,122--122,2,3,1988,Expert Systems in Libraries,Journal of Information Technology,"Morris, Anne",10.1057/JIT.1988.26,article,,,https://link.springer.com/article/10.1057/jit.1988.26,,,,
C_000693,000693,crossref,eng,,359--371,4,11,1996,An inventory of personal constructs for information systems project risk researchers,Journal of Information Technology,"Moynihan, Tony",10.1057/JIT.1996.9,article,,,https://link.springer.com/article/10.1057/jit.1996.9,,,,
C_000694,000694,crossref,eng,,321--331,4,11,1996,Risky ideas in the risk society,Journal of Information Technology,"Mumford, Enid",10.1057/JIT.1996.6,article,,,https://link.springer.com/article/10.1057/jit.1996.6,,,,
C_000695,000695,crossref,eng,,294--295,4,26,2011,Is There a Methodological Crisis?,Journal of Information Technology,"Myers, Michael D",10.1057/JIT.2011.26,article,,,,,,,
C_000696,000696,crossref,eng,,233--234,4,13,1998,Exemplifying Interpretive Research in Information Systems: an Overview,Journal of Information Technology,"Myers, Michael D and Walsham, Geoff",10.1057/JIT.1998.2,article,,,https://link.springer.com/article/10.1057/jit.1998.2,,,,
C_000697,000697,crossref,,,137--147,2,14,1999,The effectiveness of expert support technology for decision making: individuals versus small groups,Journal of Information Technology,"Nah, Fui Hoon (Fiona) and Mao, Jiye and Benbasat, Izak",10.1080/026839699344638,article,,,,,,,
C_000698,000698,crossref,,,195--210,3,15,2000,E-commerce and firm bargaining power shift in grocery marketing channels: A case of wholesalers' structured document exchanges,Journal of Information Technology,"Nakayama, Makoto",10.1080/02683960050153165,article,,,,,,,
C_000699,000699,crossref,,,199--209,3,11,1996,Executive information system development: a case study of a manufacturing company,Journal of Information Technology,"Nandhakumar, Joe",10.1080/026839696345252,article,,,,,,,
C_000700,000700,crossref,eng,,302--303,4,26,2011,Open Sources? A Commentary on ‘IS Research Methods: Inclusive Or Exclusive?’,Journal of Information Technology,"Nandhakumar, Joe and Scarbrough, Harry",10.1057/JIT.2011.22,article,,,,,,,
C_000701,000701,crossref,eng,"Organizational change in today's competitive landscape is no longer just an option, but a fundamental strategy for success. In order to be the premier player in this type of competitive landscape, customer focus has to become a priority, and bearing this in mind both academia and competitive organizations have one key objective in common. Their current focus is on implementing successful support systems in order to meet their end-users’ needs. As early as 1995, University College Cork (a Third-level Irish university) introduced on-line support to provide learning material for students ranging from full/part-time undergraduates and postgraduates to distance-learners. However, students identified a need for more support, the type that only a more interactive system can provide. This paper focuses on the evolution of e-learning and learning management systems (LMS) in considering e-learning as the academic equivalent to the customer relationship management (CRM) challenge. This research outlines the different characteristics necessary for the successful management of the learning process and the support needed by students, through the investigation of current research and the analysis of the case environment. It also highlights the potential of the system to overcome the physical barriers of the traditional classroom aligning the key critical factors necessary for e-learning with those of CRM. Through the adoption of the CRM philosophy, the system presented here strengthened its link between the different actors and additionally provided the university with a more in-depth view of its target audience.",117--129,2,20,2005,A Case in Customizing E-Learning,Journal of Information Technology,"Neville, Karen and Heavin, Ciara and Walsh, Eoin",10.1057/PALGRAVE.JIT.2000041,article,,,,,,,
C_000702,000702,crossref,eng,"Although three-dimensional, immersive virtual worlds, such as Active Worlds, Second Life, and Teleplace have been in existence for several years, their organizational use is rather limited. This paper posits, perhaps counter intuitively, that the diffusion of virtual worlds within organizations could be enhanced by their recreational usage. This argument is motivated by the notion developed in this paper that the use of technologies need not remain within a single context, but instead can cross-contexts, for example from recreational to vocational. We term such shift cross-context IS continuance. This paper proposes that workers using virtual worlds for recreational (i.e., hedonic and social) use are suitably positioned to discover those technologies’ workplace applicability, thereby assisting in their diffusion within the organization. Building on the supporting results of an empirical study, this paper recommends that managers consider allowing for ‘playtime’ with virtual worlds as a mechanism for enhancing their adoption and subsequent diffusion in the workplace. From an information systems (IS)-research perspective, this paper makes several important contributions. First, it contributes to the IS continuance literature by arguing for, and providing evidence in support of, the existence of cross-context continuance. To date, this literature stream has examined only one aspect of continuance - for example, within-context. Second, this paper identifies recreational and work as distinct dimensions of technology usage, and hedonic and social usage as sub-dimensions of the former, thereby contributing to the contextualization of this core IS construct. Third, it is one of the early field studies dedicated to the empirical examination of virtual worlds.",74--86,1,27,2012,From Recreational Applications to Workplace Technologies: An Empirical Study of Cross-Context IS Continuance in the Case of Virtual Worlds,Journal of Information Technology,"Nevo, Saggi and Nevo, Dorit and Kim, Henry",10.1057/JIT.2011.18,article,,,,,,,
C_000703,000703,crossref,eng,"In this paper we review the recent IS literature on knowledge and consider different assumptions that underpin different approaches to this broad research area. In doing this we contrast those who focus on knowledge management with those who focus on knowing as practice and examine how contexts, processes and purposes need to be considered whichever approach to knowledge one is adopting. We also identify how recent IT developments, especially in relation to social software and the digitization of everything, are presenting new opportunities (and challenges) for how organizations can manage both knowledge and knowledge work. This presents IS scholars with new research agendas for examining and understanding the relationships between technology, organization and society.",1--17,1,30,2015,Managing Knowledge and Managing Knowledge Work: What we know and what the Future holds,Journal of Information Technology,"Newell, Sue",10.1057/JIT.2014.12,article,,,,,,,
