ID,ENTRYTYPE,doi,journal,title,year,volume,number,pages,abstract,language,author,cited_by,fulltext,url,dblp_key,metadata_source
000157,article,10.1057/JIT.2011.13,Journal of Information Technology,The Risk of Risk Registers – Managing Risk is Managing Discourse Not Tools,2011,26,4,274--276,,eng,"Budzier, Alexander",4,,,,
000158,article,10.1057/PALGRAVE.JIT.2000134,Journal of Information Technology,An Exploration of Information Systems Adoption: Tools and Skills as Cultural Artefacts - the case of a Management Information System,2008,23,2,71--78,"This paper explains the development of a skills-focused approach that can assist organisations to better anticipate hurdles to successful information systems (IS) adoption. This approach is utilised in an interpretive field study in an Australian information technology company. From a perspective that views IS as tools, the approach is used to analyse the management control skills required to use a specific management IS. A skills match between the set of management control skills assumed by the toolmaker and the skills possessed by the tool user shows why a group of users with a high degree of match adopted the tool, while another one with a low degree of match did not do so. The study thus demonstrates that the skills-focused approach is a valid and effective way of determining the appropriateness of an IS.",eng,"Bunker, Deborah and Kautz, Karlheinz and Anhtuan, Anhtai",10,,,,
000159,article,10.1057/PALGRAVE.JIT.2000092,Journal of Information Technology,Role of Value Compatibility in it Adoption,2007,22,1,69--78,"Compatibility has been recognised as an important element in the adoption of IT innovations in organisations but as a concept it has been generally limited to technical or functional factors. Compatibility is also significant, however, with regard to value compatibility between the organisation, and the adopted IT innovation. We propose a framework to determine value compatibility analysing the organisation's and information system's structure, practices and culture, and explore the value compatibility of an organisation with its adopted self-service computer-based information system. A case study was conducted to determine the congruence of an organisation's value and IT value compatibility. This study found that there was a high correspondence in the organisational structure and practice dimensions; however, there were organisational culture disparities. The cultural disparities reflected the self-service acceptance and training issues experienced by the case organisation. These findings add insight into the problems experienced with value compatibility and the adoption of the information systems, and show the potential use of the proposed framework in the detection of such problems.",eng,"Bunker, Deborah and Kautz, Karl-Heinz and Nguyen, Anne Luu Thanh",32,,,,
000160,article,10.1057/JIT.1993.32,Journal of Information Technology,Information systems strategies and the management of organizational change – a strategic alignment model,1993,8,4,205--216,,eng,"Burn, Janice M",19,,,,
000161,article,10.1080/026839696345388,Journal of Information Technology,IS innovation and organizational alignment — a professional juggling act,1996,11,1,3--12,,,"Burn, Janice M",16,,,,
000162,article,10.1080/026839697345152,Journal of Information Technology,Executive information system failure: a New Zealand case study,1997,12,2,145--153,,,"Bussen, Wendy and Myers, Michael D",20,,,,
000163,article,10.1057/JIT.1998.7,Journal of Information Technology,Towards a hermeneutic method for interpretive research in information systems,1998,13,4,285--300,,eng,"Butler, Tom",46,,,,
000164,article,10.1057/JIT.2008.19,Journal of Information Technology,An Exploratory Study on IS Capabilities and Assets in a Small-to-Medium Software Enterprise,2008,23,4,330--344,"There is a dearth of research on the capabilities of innovative small-to-medium software enterprises (SMSEs). Understanding how SMSEs build and apply business and information systems (IS) capabilities is important, as such firms account for over 90% of software enterprises operating in Europe and the US. This paper elaborates and applies dynamic capability theory to explore and help understand the web of conditions and factors that shaped and influenced business and IS capability development and application in one European SMSE. Drawing on the overarching theory of dynamic capabilities, a theoretical model is presented that posits relationships among (1) a firm's past activities; (2) its integration, learning and reconfiguration, and transformation capabilities; (3) its financial, complementary, locational, and technological asset positions; and (4) the products and services that result, and which are of value to an SMSE's customers. The paper refines and elaborates the model by describing and enumerating the business and IS capabilities, assets, and products and services of the SMSE under study. To properly assess whether this firm's products and services were of value to its customers, research was also conducted at two customer sites in Ireland and the US, in addition to the investigation at the primary research site in Dublin. The study therefore informs both practitioners’ and researchers’ understandings of this complex and under-researched phenomenon: for practitioners, it highlights the characteristics required to build innovative software solutions; for researchers, it illustrates the patterns and regularities associated with the development and application of business and IS capabilities.",eng,"Butler, Tom and Murphy, Ciaran",13,,,,
000165,article,10.1057/JIT.2016.15,Journal of Information Technology,Generative Innovation: A Comparison of Lightweight and Heavyweight IT,2017,32,2,180--193,"This paper proposes a simple terminology for understanding and dealing with two current phenomena; we suggest calling them heavyweight and lightweight IT. Heavy-weight IT denotes the well-established knowledge regime of large systems, developing ever more sophisticated solutions through advanced integration. Lightweight IT is suggested as a term for the new knowledge regime of mobile apps, sensors and bring-your-own-device, also called consumerisation and Internet-of-Things. The key aspect of lightweight IT is not only the cheaper and more available technology compared with heavyweight IT, but the fact that its deployment is frequently done by users or vendors, bypassing the IT departments. Our theoretical lens is generativity, the idea that complex phenomena arise from interactions among basic elements. In the context of IT, generativity helps to explain the creative potential of flexible digital technology for knowledgeable professionals and users. The research questions are: how is generativity different in heavyweight and lightweight IT, and what is the generative relationship between heavyweight and lightweight IT? These questions were investigated through a study of four cases in the health sector. Our findings show that (i) generativity enfolds differently in heavyweight and lightweight IT and (ii) generativity in digital infrastructures is supported by the interaction of loosely coupled heavyweight and lightweight IT. The practical design implication is that heavyweight and lightweight IT should be only loosely integrated, both in terms of technology, standardisation and organisation.",eng,"Bygstad, Bendik",81,,,,
000166,article,10.1057/JIT.2010.15,Journal of Information Technology,Exploring the Role of Informants in Interpretive Case Study Research in IS,2011,26,1,32--45,"Recent information systems research calls for interaction between the researcher and the informants in interpretive case study research. In line with Van de Ven's call for engaged scholarship, we Investigate how to involve the informants in case studies, not only for the collection of facts, but also in the co-construction and interpretation of the case narrative. The paper builds on a longitudinal case study, in which we explored an approach of extensive informant involvement. Using the ladder of analytical abstraction as our analytical tool, we discuss how an extended involvement of informants may enrich the Interpretive process In case study research, and increase the relevance of the findings. We discuss how and under what conditions this form of involvement may take place, and potential challenges of this approach.",eng,"Bygstad, Bendik and Munkvold, Bjørn Erik",21,,,,
000167,article,10.1057/JIT.2015.13,Journal of Information Technology,Identifying Generative Mechanisms through Affordances: A Framework for Critical Realist Data Analysis,2016,31,1,83--96,"Critical realism has attracted increasing attention as an alternative to positivist and interpretive research for explaining contemporary phenomena. There are now several sources for information systems' (IS) scholars providing guidance on conducting critical realist studies. However, the most challenging step of a critical realist data analysis, the identification of causal mechanisms, is still insufficiently described. Identifying mechanisms is challenging. Drawing on the concept of affordances as an analytical construct offers the researcher a tool to identify and analyse mechanisms. We present a stepwise framework for identifying structural components of a mechanism, how these components interact to produce an outcome and contextual influences on this outcome. We illustrate the application of the framework through an example of the identification of IS innovation mechanisms in a case study in the airline industry. In doing so, we argue that the approach offers a methodological tool for identifying generative mechanisms, helping the researcher in conducting a more precise data analysis in empirical research.",eng,"Bygstad, Bendik and Munkvold, Bjørn Erik and Volkoff, Olga",101,,,,
000168,article,10.1080/026839696345397,Journal of Information Technology,Organizing for crisis response,1996,11,1,13--26,,,"Calloway, Linda Jo and Keen, Peter G W",7,,,,
000169,article,10.1057/JIT.1992.29,Journal of Information Technology,Computerized marketing databases: their role now and in the future,1992,7,4,223--232,,eng,"Cameron, Ross and Targett, David",2,,,,
000170,article,10.1057/JIT.1986.19,Journal of Information Technology,Information Technology and Schools,1986,1,2,23--29,,eng,"Campbell, Bob",0,,,,
000171,article,10.1057/JIT.2013.4,Journal of Information Technology,The History of the Internet: The Missing Narratives,2013,28,1,18--33,"The origins of the Internet are only partially understood. It is often believed that the Internet grew as a tree from a tiny acorn, the ARPANET network set up in 1969. In this study, we argue that this interpretation is incomplete at best and seriously flawed at worst. Our article makes three contributions. First, on the basis of a wide variety of primary and secondary sources we reconstruct the history of computer networks between the late 1950s and the early 1990s. We show that the ARPANET network was one among a myriad of (commercial and non-commercial) networks that developed over that period of time – the integration of these networks into an internet was likely to happen, whether ARPANET existed or not. Second, we make a systematic effort to quantify the significance of these various networks. This allows us to visualize more clearly the extent to which the ARPANET network was one among many, and not a particularly large one at that. Third, we provide a nuanced interpretation of the rise of various technologies, including the Transmission Control Protocol/Internet Protocol and the World Wide Web, as ‘dominant designs.’ Their rise should be interpreted within the economic framework of industries with network effects, in which historical accidents bring about tipping points that lead to universal acceptance. We thus show that history matters for understanding why information systems function in the way they do.",eng,"Campbell-Kelly, Martin and Garcia-Swartz, Daniel D",34,,,,
000172,article,10.1057/PALGRAVE.JIT.2000078,Journal of Information Technology,An Agent–Based Model of the Impact of Computer–Mediated Communication on Organizational Culture and Performance: An example of the Application of Complex Systems Analysis Tools to the Study of CIS,2006,21,4,272--283,"Organizations that make use of computer information systems (CIS) are prototypical complex adaptive systems (CAS). This paper shows how an approach from Complexity Science, exploratory agent-based modeling (ABM), can be used to study the impact of two different modes of use of computer-mediated communication (CMC) on organizational culture (OC) and performance. The ABM includes stylized representations of (a) agents communicating with other agents to complete tasks; (b) an OC consisting of the distribution of agent traits, changing as agents communicate; (c) the effect of OC on communication effectiveness (CE), and (d) the effect of CE on task completion times, that is, performance. If CMC is used in a broad mode, that is, to contact and collaborate with many, new agents, the development of a strong OC is slowed, leading to decreased CE and poorer performance early on. If CMC is used in a local mode, repeatedly contacting the same agents, a strong OC develops rapidly, leading to increased CE and high performance early on. However, if CMC is used in a broad mode over longer time periods, a strong OC can develop over a wider set of agents, leading to an OC that is stronger than an OC which develops with local CMC use. Thus broad use of CMC results in overall CE and performance that is higher than is generated by local use of CMC. We also discuss how the dynamics generated by an ABM can lead to a deeper understanding of the behavior of a CAS, for example, allowing us to better design empirical longitudinal studies.",eng,"Canessa, Enrique and Riolo, Rick L.",20,,,,
000173,article,10.1057/JIT.2010.27,Journal of Information Technology,Import the IS students,2010,25,4,373--375,,eng,"Carmel, Erran",0,,,,
000174,article,10.1057/JIT.1995.18,Journal of Information Technology,Participation in the development of inter-organizational systems involving users outside the organization,1995,10,3,135--147,,eng,"Cavaye, Angèle L M",4,,,,
000175,article,10.1080/026839697345116,Journal of Information Technology,Challenges during the development of transnational information systems,1997,12,2,99--106,,,"Cavaye, Angøle L M",2,,,,
000176,article,10.1080/0268396022000017752,Journal of Information Technology,The Rationality Framework for a Critical Study of Information Systems,2002,17,4,215--227,"This paper situates the social implications of information systems (IS) within the broader context of progressive rationalization in modern organizations. Specifically, it examines the roles IS play in the rationalization of organizational processes and its social implications. The paper proposes a rationality framework that synthesizes different approaches to reason and rationality and provides a conceptual model for critical analysis of social and organizational consequences of rationalization in organizations that are enabled and supported by IS. By drawing on a field study the paper interprets three IS cases in order to demonstrate how the rationality framework helps explain different IS-organization relationships in the light of increasing levels of rationality that entail both substantial benefits and considerable risks.",eng,"Cecez-Kecmanovic, Dubravka and Janson, Marius and Brown, Ann",29,http://journals.sagepub.com/doi/pdf/10.1080/0268396022000017752,,,
000177,article,10.1080/02683960010028438,Journal of Information Technology,PEArL: A Systems Approach to Demonstrating Authenticity in Information Systems Design,2001,16,1,3--12,"The process of information systems (IS) design has been dominated by the demands inherent in providing a technical solution to a perceived problem or need. Engineering IS design methods applied in order to satisfy the problem situation tend to have a preoccupation with verifying specifications as being mathematically correct. Difficulties arise when the ideas underpinning verification are extended in an attempt to ‘prove’ the validity of a proposed design for an IS. A pure engineering approach does not facilitate a response to the subjective elements within social situations, which experience has shown to be essential in demonstrating the pertinence of new designs to those concerned. We suggest that, by applying interpretivist systems ideas, it is possible to support concerned individuals in reflecting upon crucial aspects of the inquiry, enabling those individuals to judge the relevance or ‘authenticity’ of the learning, according to their own values and beliefs. The elements of participants, engagement, authority, relationships and learning are suggested as being crucial. These make up the mnemonic PEArL, which is offered as an aide-mémoire for those concerned with IS design.",eng,"Champion, D. and Stowell, F. A.",27,http://journals.sagepub.com/doi/pdf/10.1080/02683960010028438,,,
000178,article,10.1057/PALGRAVE.JIT.2000109,Journal of Information Technology,IT Alignment: What Have We Learned?,2007,22,4,297--315,"We provide a review of the alignment literature in IT, addressing questions such as: What have we learned? What is disputed? Who are contributors to the debate? The article is intended to be useful to faculty and graduate students considering conducting research on alignment, instructors preparing lectures, and practitioners seeking to assess the ‘state-of-play’. It is both informational and provocative. Challenges to the value of alignment research, divergent views, and new perspectives on alignment are presented. It is hoped that the article will spark helpful conversation on the merits of continued investigation of IT alignment.",eng,"Chan, Yolande E and Reich, Blaize Horner",507,,,,
000179,article,10.1057/PALGRAVE.JIT.2000111,Journal of Information Technology,IT Alignment: An Annotated Bibliography,2007,22,4,316--396,We provide summaries of over 150 alignment articles. The information is intended to assist faculty and graduate students who are conducting IT alignment-related research. The findings presented should interest practitioners also. We hope that the article will facilitate the ongoing study and practice of IT alignment.,eng,"Chan, Yolande E and Reich, Blaize Horner",67,,,,
000180,article,10.1057/JIT.1996.10,Journal of Information Technology,The mechanics of managing IT risk,1996,11,4,373--378,,eng,"Charette, Robert N.",16,,,,
000181,article,10.1057/JIT.2012.19,Journal of Information Technology,ICT for Development: Solutions Seeking Problems?,2012,27,4,326--338,"This paper investigates information and communication technologies for development (ICT4D) projects from around the world. It finds that computer and Internet promotion schemes usually fail despite active support, but mobile penetration in even the poorest countries is deepening organically. It argues that mobiles have emotional appeal because talking is a universal psycho-sociological propensity while the other two are principally utilitarian technologies that have to generate returns on investment. The search for killer apps is likely to be fruitless because technological adoption is conditional upon need and absorptive capacity. The paper raises questions about the continuing support for ICT4D among proponents.",eng,"Chaudhuri, Anindya",21,,,,
000182,article,10.1057/JIT.2013.26,Journal of Information Technology,Can Customer Satisfaction and Dissatisfaction Coexist? An Issue of Telecommunication Service in China,2014,29,3,237--252,"Although the telecommunication industry in China is growing at a fast pace, and firms are making strong efforts to provide customers with various services, customer switching continues to be high. Satisfaction has been considered as one of the most important antecedent of customer loyalty. However, little attention has been paid to dissatisfaction, a qualitatively different construct from satisfaction, which also influences loyalty. Relying on the two-factor and three-factor theory, this research proposes a theoretical framework to demonstrate the coexistence of customer satisfaction and dissatisfaction, and investigates the different antecedents and influences of satisfaction and dissatisfaction on customer loyalty. Through an exploratory study, we derived 11 telecom service attributes and further classified them into three categories, namely, hygiene factors, bivalent factors, and motivating factors. Each of these categories has a distinct effect on shaping customers’ satisfaction and dissatisfaction. The PLS analysis of the survey data collected from 679 respondents provides insights into the complex interrelationships between 11 telecom service attributes, functional perception, motivating perception, customer satisfaction, customer dissatisfaction, and customer loyalty constructs. This study has a few interesting implications for researchers and telecom industry managers.",eng,"Chen, Aihui and Lu, Yaobin and Gupta, Sumeet and Xiaolin, Qi",28,,,,
000183,article,10.1057/JIT.2015.26,Journal of Information Technology,Improving Strategic Flexibility with Information Technologies: Insights for Firm Performance in an Emerging Economy,2017,32,1,10--25,"As the business environment becomes more turbulent, firms ponder how to become more flexible in reallocating or reconfiguring resources, processes, and strategies to respond more efficiently and effectively. In this context, the question of whether and how information technology (IT) can support strategic flexibility remains unresolved. This paper theorizes that firms that use IT to support core competencies will experience improved strategic flexibility, which may enhance their performance. It further theorizes that these effects are contingent on the form and nature of the firm's IT infrastructure, as well as its type of ownership - state-owned or private. Using data from a matched survey of IT and business executives in 148 Chinese manufacturing firms, we reveal positive, significant links between IT support for core competencies and strategic flexibility, and between strategic flexibility and firm performance. The findings further show that the effect of IT support for core competencies on performance is partially mediated by strategic flexibility, and that IT infrastructure positively moderates the link between IT support for core competencies and strategic flexibility. We also demonstrate that state-owned firms are less likely to apply IT applications to collect and analyse market information and thus surrender opportunities for achieving strategic flexibility and stronger firm performance.",eng,"Chen, Yang and Wang, Yi and Nevo, Saggi and Benitez, Jose and Kou, Gang",65,,,,
000184,article,10.1057/S41265-016-0005-7,Journal of Information Technology,"Context may be King, but generalizability is the Emperor!",2016,31,3,257--264,"The relative importance of context and generalizability (or particularism and universalism) has long been debated in scientific research. Recently, Davison and Martinsons raised valid concerns about the possibility of false universalism in IS research, discussed its negative consequences, and made a call for explicitly including particularism in research design and reporting. In this commentary, we generally agree with the notion that context should matter more in IS research; yet, the importance of generalizability in research should not be downplayed. Specifically, we posit that generalizability should be given higher position in the scientific process and be the ultimate goal for researchers. Still, researchers need to fully understand the research context, which, in combination and replication, can help to cautiously make generalizable knowledge claims. Therefore, we characterize the relationship between context and generalizability as that of a “King” (as an analogy of the local role of context) versus the “Emperor” (as an analogy of the global role of generalizability).",eng,"Cheng, Zhi (Aaron) and Dimoka, Angelika and Pavlou, Paul A.",17,,,,
000185,article,10.1057/JIT.1995.25,Journal of Information Technology,Theoretical perspectives on the outsourcing of information systems,1995,10,4,209--219,,eng,"Cheon, Myun J and Grover, Varun and Teng, James T C",103,,,,
000186,article,10.1057/JIT.2015.11,Journal of Information Technology,Avoiding Methodological Overdose: A Declaration for Independent Ends,2015,30,2,174--176,,eng,"Chiasson, Mike W",4,,,,
000187,article,10.1057/PALGRAVE.JIT.2000088,Journal of Information Technology,Dialectics of Resilience: A Multi–Level Analysis of a Telehealth Innovation,2007,22,1,24--35,"Resilience is commonly portrayed as a positive capability that allows individuals, groups, and organizations to thrive in dynamic contexts. This paper questions this oversimplified view based on a dialectical analysis of a telehealth innovation within a network of collaborating hospitals. We analyze the major contradictions that characterize the adoption of the innovation. First, we analyze contradictions between individuals and groups within each adopting organization. Second, we analyze contradictions between the adopting organizations. This multi-level analysis leads to a deeper understanding of resilience as a dialectical process. The analysis of the case shows that, although the participating individuals, groups, and organizations demonstrated apparent resilience in adopting the telehealth innovation, the innovation remained in a fragile state, where it was unclear whether it would continue to diffuse, stabilize as-is, or slowly deteriorate. Hence, while resilience facilitated swift and successful adoption, it also created tensions that endangered further diffusion and the long-term sustainability of the telehealth innovation. We suggest that understanding the future success of the innovation would be facilitated to a large extent by a dialectical analysis of the involved contradictions.",eng,"Cho, Sunyoung and Mathiassen, Lars and Robey, Daniel",63,,,,
000188,article,10.1057/PALGRAVE.JIT.2000013,Journal of Information Technology,Impact of Management Accounting Information and AMT on Organizational Performance,2004,19,3,203--214,"This study empirically examined and identified specific types of management accounting information as well as conditions of learning facilitators for effective organizational learning under high levels of advanced manufacturing technology (AMT). In this study, the interaction and communication among functions as well as job rotation and experience were considered as the facilitators of organizational learning. This research investigated the relationship between the level of AMT and the amount of management accounting information (i.e. planning and control information and nonfinancial performance information). The empirical results showed that there is a significant positive relationship between the AMT level and the amount of information produced by management accounting information systems (MAISs). Significant positive correlations among the amount of information, degree of organizational learning, and production performance were also observed. Using structural equation modeling, this study examined causal relationships among AMT level, amount of information, learning facilitators, organizational learning, and production performance. The results of the study showed that under a high level of AMT, to give rise to a high degree of learning and, consequently, an increase of performance through the provision of information, facilitators of learning must be well-coordinated (i.e. highly utilized), and MAISs must produce a large amount of management accounting information (i.e. planning and control information and nonfinancial performance information).",eng,"Choe, Jong-Min",19,,,,
000189,article,10.1057/JIT.1993.2,Journal of Information Technology,Information technology transfer in econometric forecasting: a pictorial approach,1993,8,1,3--13,,eng,"Chong, P Pete and Chen, Ye-Sho and Pruett, James M",1,,,,
000190,article,10.1080/0268396032000150816,Journal of Information Technology,A web of Stakeholders and Strategies: A Case of Broadband Diffusion in South Korea,2003,18,4,281--290,"When a new technology is launched, its diffusion becomes an issue of importance. There are various stakeholders that influence diffusion. The question that remains to be determined is their identification and roles. This paper outlines how the strategies pursued by a government acting as the key stakeholder affected the diffusion of a new technology. The analysis is based on a theoretical framework derived from innovation diffusion and stakeholder theories. The empirical evidence comes from a study of broadband development in South Korea. A web of stakeholders and strategies is drawn in order to identify the major stakeholders involved and highlight their relations. The case of South Korea offers implications for other countries that are pursuing broadband diffusion strategies.",eng,"Choudrie, Jyoti and Papazafeiropoulou, Anastasia and Lee, Heejin",44,http://journals.sagepub.com/doi/pdf/10.1080/0268396032000150816,,,
000191,article,10.1057/JIT.2016.9,Journal of Information Technology,Understanding Individual User Resistance and Workarounds of Enterprise Social Networks: The Case of Service Ltd,2016,31,2,130--151,"The purpose of this study is to explore the use of Enterprise Social Networks (ESN), namely, Yammer and Chatter, using the lens of resistance and deployment of workarounds among individuals employed in a large, service sector organization. By doing so, we can illustrate the motivation behind individual use of ESN within a large organization, the reasons for not using it and the outcomes of their choices on the organization's performance and day-today activities. The research approach of our study involves employing a qualitative approach and adopting the interpretive research perspective. Our findings illustrate that there are several bottom-up and top-down pressures, which effectively hinder the adequate or successful use of ESN and drive user resistance and workarounds. The contributions of our study are manifold. First, since ESN are actively considered by organizations, our findings can inform policymakers on the issues that might arise beyond implementation, more so, during the actual use of the system. In other words, the results of this research can shed light on the areas where their efforts are best placed. At a theoretical level, our study enriches the extant literature associated with adoption issues, by explaining that ESN involve multi-level organizational characteristics found within a specific context of use, that of ESN.",eng,"Choudrie, Jyoti and Zamani, Efpraxia D",33,,,,
000192,article,10.1080/026839699344629,Journal of Information Technology,Managing electronic channels: the KLM cargo cyberpets case,1999,14,2,123--135,,,"Christiaanse, Ellen and Zimmerman, Robert-Jan",4,,,,
000193,article,10.1057/S41265-017-0048-4,Journal of Information Technology,Social Control in Information Systems Development: A Negotiated Order Perspective,2018,33,3,173--187,"Control is vital for IS projects to be delivered on time and within budget. Control theory helps us better understand and explain control in information systems operations and development. However, simplistic notions about control do not correspond to how control actually works. We believe that a social perspective that sees controls as negotiated orders, and not just things imposed by controllers on controlees, better explains control of IS projects and operations. Through an interpretive case study of client-vendor control in the IS department of a large agricultural distributor, we show that: (1) control enactment involves the controller's consideration of the social and organizational context as well as the controller's intention. (2) Control enactment involves a socially constructed meaning and unintended consequences. (3) The control enactment also involves controlee intent either because of negotiation with the controller, or indirectly by way of alternative structures. Finally, (4) the control itself influences the controller and controlee in unanticipated ways. Seeing control as the result of negotiated orders between controllers and controlees contributes to control theory by suggesting that, in practice, negotiation, shaping and re-appropriation are necessary for successful control enactment.",eng,"Huang Chua, Cecil Eng and Myers, Michael D.",5,,,,
000194,article,10.1080/02683960110055103,Journal of Information Technology,Sharing Knowledge across Boundaries,2001,16,2,73--81,"Practical solutions concerning the strategic use of knowledge and its management depend upon the relevant organizational context. By applying the ‘learning ladder’ model (i.e. a compact way of describing the unfolding of multiple organizational knowledge creation, transformation and transfer processes), three different contexts are explored. First, the single firm is considered and the governance of its internal knowledge processes performed according to the tenets of the resource-based view of strategy. Second, the boundaries of the single firm are crossed and the characteristics of the processes of knowledge transfer and production between allied firms are considered. Finally, emerging features of how knowledge is managed among a large number of interdependent organizations and individuals are explored with reference to the case of open source software. The latter context highlights behaviours that seem, in a sense, at odds with the traditional principles of knowledge management. This is puzzling: conventional strategic and knowledge management frameworks break down precisely when dealing with the case of highly distributed, knowledge intensive businesses.",eng,"Ciborra, Claudio U. and Andreu, Rafael",62,http://journals.sagepub.com/doi/pdf/10.1080/02683960110055103,,,
000195,article,10.1057/PALGRAVE.JIT.2000062,Journal of Information Technology,The Mind or the Heart? it Depends on the (definition of) Situation,2006,21,3,129--139,"This paper 1 establishes the importance of situatedness of experience in Information Systems (IS) studies, but also critiques the limited notion of situatedness all too frequently employed. In the original language of phenomenology as used by Heidegger, ‘Befindlichkeif means not just ‘state of mind’ but also refers to disposition, mood, affectedness and emotion. The paper reviews the controversies in the literature generated by opponents to the situatedness literature and provides two case studies to show how current IS uses of the situatedness perspectives differ from the original one. From this discussion, the paper argues that the limited IS research agendas on situated action found in Al, cognitive and social sciences need to capture the inner life of the actor, mind and heart, through the scope of a renewed, authentic, phenomenological tradition.",eng,"Ciborra, Claudio and Willcocks, Leslie",47,,,,
000196,article,10.1057/JIT.1986.36,Journal of Information Technology,Implementation of Voice Input to Computer Applications,1986,1,4,39--56,,eng,"Clark, P E J",1,,,,
000197,article,10.1057/JIT.1995.26,Journal of Information Technology,The outsourcing of information services: transforming the nature of business in the information industry,1995,10,4,221--237,,eng,"Clark, Thomas D and Zmud, Robert W and McCray, Gordon E",95,,,,
000198,article,10.1057/JIT.1988.3,Journal of Information Technology,Legal Aspects of Knowledge-Based Technology,1988,3,1,9--16,,eng,"Clarke, Roger",0,,,,
000199,article,10.1057/JIT.2013.11,Journal of Information Technology,Morning Dew on the web in Australia: 1992–1995,2013,28,2,93--110,"The World Wide Web arrived just as connections to the Internet were broadening from academe to the public generally. The Web was designed to support user-performed publishing and access to documents in both textual and graphical forms. That capability was quickly supplemented by means to discover content. The web browser was the ‘killer app’ associated with the explosion of the Internet into the wider world during the mid- 1990s. The technology was developed in 1990 by an Englishman, supported by a Belgian, working in Switzerland, but with the locus soon migrating to Illinois and then to Massachusetts in 1994. Australians were not significant contributors to the original technology, but were among the pioneers in its application. This paper traces the story of the Web in Australia from its beginnings in 1992, up to 1995, identifying key players and what they did, set within the broader context, and reflecting the insights of the theories of innovation and innovation diffusion.",eng,"Clarke, Roger",2,,,,
000200,article,10.1057/JIT.1988.29,Journal of Information Technology,Appropriate Technology for Humans and Organizations,1988,3,3,133--146,,eng,"Clegg, Chris",4,,,,
000201,article,10.1080/026839697345189,Journal of Information Technology,Users' reactions to information technology: some multivariate models and their implications,1997,12,1,15--32,,,"Clegg, Chris and Carey, Neil and Dean, Graham and Hornby, Pat and Bolden, Richard",9,,,,
000202,article,10.1057/PALGRAVE.JIT.2000103,Journal of Information Technology,The Biggest Computer Programme in the World…Ever!’: Time for a Change in Mindset?,2007,22,3,212--221,"In this paper we offer a critique of The National Programme for Information Technology’ (NPfIT) currently being undertaken in the National Health Service (NHS) in the UK. We begin by offering a brief introduction to the project. Next, we review the lessons learned from a wide range of experience with IT and business change projects and comment on why changes in the NHS are likely to be harder than in most other organizations. We then elaborate the implications of these ideas and identify potential areas for change, with particular focus on the current guiding mindset that this project is about the provision of a technical infrastructure. We argue that this is, thus far, a technology project and question whether the current strategy is the most appropriate way forward to achieve service improvements. We suggest changes in the underlying mindset, along with the leadership, ownership, metrics and labelling of the project.",eng,"Clegg, Chris and Shepherd, Craig",47,,,,
000203,article,10.1057/JIT.1994.10,Journal of Information Technology,Computer supported collaborative working: lessons from elsewhere,1994,9,2,85--98,,eng,"Clegg, Chris and Waterson, Patrick and Carey, Neil",7,,,,
000204,article,10.1057/JIT.1994.8,Journal of Information Technology,Theme Issue – Organizational Perspectives on Collaborative Working,1994,9,2,71--72,,eng,"Clegg, Chris and Willcocks, Leslie",0,,,,
000205,article,10.1057/JIT.1991.35,Journal of Information Technology,A critical look at expert systems for business information applications,1991,6,3-4,208--215,,eng,"Coats, Pamela K",4,,,,
000206,article,10.1080/026839698344918,Journal of Information Technology,The interlevel dynamics of information technology,1998,13,2,139--149,,,"Coghlan, David",2,,,,
000207,article,10.1057/JIT.1990.31,Journal of Information Technology,Information systems forensics,1990,5,3,134--140,,eng,"Collier, Paul A and Spaul, Barry J",0,,,,
000208,article,10.1057/PALGRAVE.JIT.2000073,Journal of Information Technology,E-Business Strategy and Firm Performance: A Latent Class Assessment of the Drivers and Impediments to Success,2007,22,2,87--101,"Among many leading organizations, in all sectors of industry, commerce and government, there is considerable evidence of e-business being deployed to achieve strategic goals. Where this deployment has been most successful, there is a strong case that the organization has taken an integrated approach that both builds on the organization's strengths and pays careful attention to the process of change within the organization. However, in the literature most empirical work has either studied e-business strategy and performance from the perspective of strategy content – which highlights positioning and/or unique bundles of resources – or from the perspective of strategy process – which captures human influence and e-business implementation. In this study, we integrate these two perspectives to develop a more holistic understanding of the underlying drivers of e-business performance. Further, latent class modeling techniques are used to show that the variables in our study are heavily influenced by the unobservable heterogeneity across firms. Four distinct types of firms populate our data, and the relationship between performance and its underlying determinants varies greatly between them. The implication is that a single model cannot explain the relationship between environment, structure, feasibility, managerial beliefs and performance. This is critical to our understanding of e-business as it implies that there is far less homogeneity at the individual firm level than is normally assumed in the literature.",eng,"Coltman, Tim R and Devinney, Timothy M and Midgley, David F",34,,,,
